	TCGA.D8.A1JA.01A.11R.A13Q.07	TCGA.A7.A26E.01A.11R.A277.07	TCGA.EW.A1IY.01A.11R.A13Q.07	TCGA.D8.A1J8.01A.11R.A13Q.07	TCGA.AQ.A0Y5.01A.11R.A14M.07	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.A7.A0DB.01A.11R.A277.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.VJWN.0726.SM.3GIJ8	TCGA.B8.5552.11A.01R.1672.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAD3.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A3KG.01A.11R.A213.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A11B.01A.11R.A131.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.RTLS.1326.SM.46MUN	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.13NYB.1026.SM.5IFH3	GTEX.U3ZN.0226.SM.3DB8D	GTEX.13FTZ.0726.SM.5IFFY	GTEX.13N11.0926.SM.5IJG2	GTEX.13FTW.1126.SM.5J2NV	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.1497J.0726.SM.5Q5D1	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPIC.0926.SM.4IHLV	TCGA.38.4625.01A.01R.1206.07.1
AASDHPPT	988.12	647.07	961.07	1008.9	791.35	819.3	713.11	141.02	802.41	1073.91	1508.65	154.42	334.46	376.41	246.28	229.72	256.78	379.04	246.28	195.72	480.04	353.59	543.96	256.78	271.48	289.02	426.57	277.2	543.96	406.31	743.43	575.03	400.71	316.37	460.44	406.31	483.38	403.5	249.73	406.31	293.07	287.01	379.04	387.02	309.83	264.03	384.34	414.87	237.86	389.72	348.71	0.36
ACAP2	454.09	1044.52	518.15	466.88	420.68	486.75	1059.11	94.01	620.67	483.38	595.34	53.95	106.63	106.63	62.12	49.91	85.82	183.82	63.89	52.08	283.05	55.49	217.27	70.51	48.87	135.24	164.42	102.97	122.64	89.51	253.23	120.94	156.59	96.01	155.5	74.06	236.21	92.7	65.72	117.6	136.19	88.26	136.19	118.43	46.84	125.24	120.1	67.12	103.69	126.12	73.03	0.78
APOC2	244.57	529.06	890.44	836.53	567.1	295.11	262.2	141.02	153.34	389.72	35.25	441.64	260332.24	360589.03	151608.43	130165.62	265802.39	290865.98	273275.14	280957.98	181548.07	109455.64	197294.7	221968.2	143430.26	408505.64	741454.2	593956.43	489177.0	805764.22	117311.73	469249.9	506427.83	411347.03	1355129.16	1412675.8	663619.99	402881.61	610654.84	414208.18	405683.88	932018.1	654483.73	783730.52	475800.4	434801.29	348306.01	834179.46	598087.73	434801.29	248002.34	0.0
ARHGAP5	1322.37	1794.29	1378.57	796.86	490.14	2090.03	1709.26	84.63	1781.89	2875.3	2915.45	98.73	166.73	223.41	151.22	144.01	249.73	358.54	130.6	104.42	866.07	187.71	579.04	191.67	96.01	260.38	246.28	237.86	269.6	343.89	624.99	497.0	135.24	199.85	511.0	334.46	500.46	273.37	231.32	303.44	242.88	212.78	336.79	406.31	181.28	234.57	353.59	255.0	248.0	262.2	132.44	82.29
ATG5	624.99	941.27	587.13	961.07	629.35	753.83	536.45	144.01	698.41	1322.37	629.35	107.38	214.27	265.87	191.67	124.37	273.37	277.2	211.31	178.77	358.54	122.64	463.65	146.03	122.64	329.84	470.14	318.57	397.93	366.09	660.68	339.14	183.82	237.86	438.59	185.11	417.77	255.0	229.72	281.09	226.54	214.27	273.37	244.57	171.45	256.78	395.18	285.03	277.2	320.8	171.45	0.56
C6orf120	575.03	738.29	583.07	583.07	497.0	633.73	684.02	114.36	633.73	444.72	808.0	147.06	180.02	392.44	204.07	152.28	289.02	303.44	256.78	206.94	559.28	117.6	444.72	283.05	187.71	320.8	476.71	279.14	555.41	271.48	934.76	318.57	283.05	316.37	432.53	307.69	684.02	244.57	316.37	409.15	218.79	242.88	285.03	346.29	363.56	381.68	361.04	231.32	291.04	325.29	237.86	0.6
CCNC	1794.29	1950.0	1639.59	2777.33	2004.85	2319.15	1674.06	264.03	2090.03	2739.08	2075.59	291.04	775.05	1295.13	612.11	358.54	1159.07	1159.07	884.29	607.87	1519.15	332.14	2240.11	579.04	441.64	1191.69	1651.0	669.92	1397.83	1397.83	2287.2	2271.4	616.37	718.08	1295.13	854.13	860.08	1662.49	738.29	915.51	884.29	743.43	1104.13	921.88	808.0	1096.5	791.35	733.19	854.13	902.89	460.44	193.01
CD164	10733.74	7382.04	10014.87	16843.62	7130.55	14561.8	10733.74	1119.56	9740.98	20451.65	11664.82	1963.57	1498.22	3325.99	1745.2	1059.11	2319.15	2193.99	2335.28	1295.13	4419.52	995.0	4607.24	1225.22	1936.53	3768.09	3443.31	2609.3	3280.18	2555.58	5219.6	4298.64	2075.59	2075.59	4358.66	2555.58	3901.01	3928.15	3124.78	3690.52	2502.97	1651.0	3060.45	7081.29	1583.71	3124.78	2915.45	2720.15	2645.74	3847.29	1639.59	191.67
CDC40	444.72	547.75	423.61	532.74	529.06	595.34	417.77	105.89	457.25	759.08	579.04	104.42	120.1	215.77	108.9	77.25	161.02	181.28	125.24	117.6	273.37	88.88	325.29	91.41	106.63	183.82	232.94	101.54	212.78	197.09	518.15	368.65	186.4	178.77	318.57	241.19	251.48	172.65	239.52	361.04	224.97	155.5	206.94	195.72	117.6	157.68	159.9	202.66	162.14	248.0	150.17	0.44
CRY1	353.59	460.44	381.68	514.56	320.8	497.0	457.25	119.26	934.76	733.19	571.05	81.14	120.94	135.24	101.54	98.04	169.07	234.57	75.11	126.12	185.11	71.5	316.37	144.01	86.43	318.57	293.07	178.77	143.01	122.64	133.36	420.68	110.43	183.82	373.81	197.09	209.84	130.6	68.07	269.6	211.31	111.21	297.17	81.71	153.34	105.89	122.64	309.83	149.12	159.9	78.34	0.0
EEA1	275.28	336.79	206.94	271.48	336.79	297.17	358.54	29.06	392.44	379.04	432.53	16.51	46.5	78.89	40.64	35.25	66.65	94.67	42.41	29.91	169.07	46.18	150.17	50.98	17.38	67.12	46.5	55.1	59.97	102.25	173.85	100.83	48.87	51.71	109.66	50.27	128.79	60.82	58.3	92.05	76.17	60.82	86.43	70.01	52.45	49.21	74.58	81.14	72.01	72.01	34.26	0.35
ERBB2IP	775.05	1685.71	1340.84	961.07	819.3	1519.15	2209.26	153.34	981.29	1651.0	1561.89	78.34	264.03	497.0	191.67	163.28	226.54	486.75	181.28	223.41	785.88	158.79	802.41	127.0	89.51	301.33	264.03	275.28	297.17	323.03	551.56	616.37	381.68	295.11	409.15	264.03	379.04	271.48	195.72	379.04	318.57	223.41	406.31	341.51	146.03	387.02	289.02	271.48	260.38	417.77	139.07	0.64
EXOC5	1388.16	743.43	1119.56	1540.37	802.41	1250.98	1001.93	96.01	1037.29	878.17	1417.35	48.52	122.64	140.04	90.14	105.15	130.6	237.86	108.9	94.01	607.87	95.34	409.15	130.6	51.35	144.01	295.11	122.64	229.72	279.14	406.31	167.9	195.72	201.25	181.28	126.12	281.09	111.99	104.42	183.82	253.23	134.3	226.54	162.14	106.63	195.72	176.29	144.01	146.03	182.55	123.5	0.38
