	TCGA.KM.8639.01A.11R.2403.07	TCGA.KM.8438.01A.11R.2315.07	TCGA.KL.8337.01A.11R.2315.07	TCGA.KL.8324.01A.11R.2315.07	TCGA.KN.8418.01A.11R.2315.07	TCGA.KL.8335.01A.11R.2315.07	TCGA.KO.8407.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KM.8439.01A.11R.2315.07	TCGA.KN.8425.01A.11R.2315.07	TCGA.KM.8440.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KL.8330.01A.11R.2315.07	TCGA.KN.8434.01A.11R.2315.07	TCGA.KL.8336.01A.11R.2315.07	TCGA.KO.8417.01A.11R.2315.07	TCGA.KM.8441.01A.11R.2315.07	TCGA.KN.8424.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	TCGA.KL.8331.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KL.8340.01A.11R.2315.07	TCGA.KL.8329.01A.11R.2315.07	TCGA.KL.8343.01A.11R.2315.07	TCGA.KL.8334.01A.11R.2315.07	TCGA.KN.8430.01A.11R.2315.07	TCGA.KO.8414.01A.11R.2315.07	TCGA.KN.8435.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	TCGA.KN.8429.01A.11R.2315.07	TCGA.KO.8415.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	TCGA.KN.8422.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.N7MS.1626.SM.3LK5F	GTEX.13112.2126.SM.5GCO4	TCGA.B0.5117.01A.01R.1420.07	TCGA.A3.3328.01A.01R.0864.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.AK.3427.01A.01R.0864.07	TCGA.AK.3440.01A.02R.1277.07	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.A4.7732.01A.11R.2139.07	TCGA.4A.A93W.01A.11R.A37K.07	TCGA.G7.A4TM.01A.11R.A31O.07	TCGA.DW.5561.01A.01R.1592.07	TCGA.5P.A9K8.01A.11R.A42S.07	TCGA.SX.A7SU.01A.11R.A36F.07	TCGA.MH.A857.01A.11R.A355.07	TCGA.DW.7840.01A.11R.A32Z.07	TCGA.A4.A4ZT.11A.11R.A26U.07	TCGA.Y8.A8RY.11A.11R.A37K.07	TCGA.P4.A5ED.11A.11R.A28H.07	TCGA.BQ.7055.11A.01R.1965.07	GTEX.1497J.0726.SM.5Q5D1	TCGA.EY.A3L3.01A.11R.A22K.07	TCGA.FL.A3WE.11A.11R.A22K.07	TCGA.N5.A59F.01A.11R.A28V.07	TCGA.N5.A4R8.01A.11R.A28V.07
AARSD1	616.37	514.56	503.95	438.59	521.76	420.68	599.49	307.69	995.0	444.72	397.93	356.05	400.71	397.93	403.5	497.0	780.44	460.44	775.05	660.68	480.04	395.18	406.31	723.08	447.82	373.81	486.75	420.68	497.0	480.04	808.0	802.41	748.61	1167.14	703.28	1208.34	511.0	1073.91	915.51	591.22	511.0	1159.07	1111.82	1001.93	206.94	1037.29	1721.16	1991.0	1529.73	1628.26	915.51	2148.82	733.19	1340.84	967.76	941.27	848.22	769.69	764.36	3325.99	1870.53	1583.71	2104.58
AMPD2	473.41	95.34	93.35	176.29	30.56	94.01	167.9	57.08	343.89	147.06	49.21	52.08	114.36	218.79	75.64	53.57	334.46	197.09	412.0	112.77	132.44	87.65	113.56	72.01	134.3	126.12	95.34	92.05	123.5	117.6	500.46	595.34	759.08	967.76	198.47	1208.34	131.51	148.09	295.11	84.63	64.34	466.88	703.28	543.96	15.91	463.65	547.75	406.31	674.59	521.76	224.97	819.3	325.29	684.02	708.18	947.83	890.44	713.11	447.82	1066.48	830.75	1159.07	733.19
ATAT1	214.27	43.94	53.95	61.25	32.82	40.64	59.13	17.9	105.89	42.71	37.85	34.75	47.17	53.57	49.91	40.64	83.45	41.22	115.97	40.93	36.79	58.3	47.17	50.27	38.95	50.63	46.5	34.26	40.36	51.71	177.53	150.17	145.02	136.19	28.04	209.84	67.12	177.53	113.56	67.59	59.13	223.41	249.73	189.02	12.74	195.72	318.57	339.14	264.03	417.77	158.79	423.61	122.64	201.25	217.27	163.28	158.79	177.53	87.65	698.41	587.13	791.35	802.41
C11orf70	71.5	4.46	7.57	19.97	2.1	4.31	17.77	3.86	21.78	6.41	7.28	0.89	7.51	11.04	16.63	11.13	70.51	8.06	91.41	14.56	6.67	16.88	11.91	4.54	23.59	10.39	4.06	1.06	13.22	13.93	150.17	86.43	66.65	189.02	34.26	124.37	4.86	5.23	24.11	271.48	3.35	11.3	75.64	18.97	23.93	69.52	161.02	118.43	90.77	100.83	397.93	90.77	127.89	125.24	80.01	127.0	125.24	58.3	24.99	248.0	89.51	45.21	212.78
C16orf93	102.25	23.59	22.43	29.27	10.16	9.93	31.22	18.43	73.54	20.41	14.35	10.88	12.09	38.4	34.02	11.64	47.17	28.65	56.28	34.26	10.63	17.25	28.04	19.53	43.94	31.45	39.5	24.99	15.34	15.0	112.77	125.24	131.51	206.94	51.35	162.14	20.11	55.49	269.6	100.83	18.84	164.42	194.36	63.89	16.03	44.25	447.82	599.49	417.77	312.0	128.79	819.3	66.65	271.48	166.73	96.68	100.83	187.71	55.49	189.02	293.07	249.73	420.68
CCNB3	8.0	6.26	6.06	4.86	1.06	0.88	2.41	5.32	3.69	3.63	1.93	2.18	9.27	3.86	3.14	6.46	8.78	2.94	6.89	1.6	1.58	5.54	1.89	2.66	27.44	2.81	0.75	4.13	0.97	0.74	13.42	12.0	16.51	39.5	5.68	28.65	1.97	2.63	6.41	1.87	1.5	8.85	13.32	7.28	1.57	8.85	16.88	21.63	17.38	19.53	4.28	21.94	3.89	27.44	15.68	19.39	8.13	12.74	11.04	39.79	10.24	64.8	16.63
CENPV	56.68	85.82	16.63	152.28	26.47	67.12	91.41	16.27	118.43	81.71	78.34	47.5	48.18	78.89	19.11	55.1	170.25	84.04	101.54	107.38	40.64	102.25	34.51	102.25	44.25	52.45	249.73	143.01	30.34	130.6	612.11	426.57	547.75	1417.35	432.53	1437.15	30.56	182.55	80.57	1051.79	51.71	60.39	547.75	406.31	13.83	647.07	624.99	555.41	607.87	860.08	473.41	454.09	65.26	281.09	808.0	507.46	507.46	518.15	1250.98	262.2	693.58	1340.84	3491.39
CEP85L	14.24	11.64	7.22	14.14	9.06	9.93	14.78	9.63	10.71	28.04	10.79	14.78	9.93	22.26	10.96	15.91	17.64	17.9	26.67	15.45	11.38	18.29	14.89	19.97	15.11	27.64	14.78	18.56	14.24	19.11	26.1	33.3	32.82	37.32	7.82	55.1	19.39	21.47	15.22	15.45	8.92	26.47	24.63	19.11	3.89	26.47	45.85	26.86	31.0	57.49	18.56	52.08	10.31	32.82	19.39	22.92	23.93	34.26	19.68	68.07	60.82	44.25	45.85
CNPY3	1268.46	555.41	291.04	441.64	234.57	351.14	457.25	500.46	1135.2	507.46	199.85	336.79	314.17	563.18	612.11	312.0	713.11	444.72	848.22	435.55	579.04	368.65	460.44	414.87	409.15	368.65	684.02	212.78	361.04	366.09	915.51	791.35	928.3	1378.57	309.83	1447.15	366.09	612.11	825.0	860.08	258.57	1674.06	1467.37	988.12	201.25	1073.91	1498.22	2209.26	1963.57	2720.15	2163.77	1781.89	896.64	1674.06	1119.56	1081.39	974.5	679.29	1617.0	1936.53	2090.03	4152.18	2976.74
COL9A2	42.41	2.29	25.91	8.99	12.93	7.4	16.88	9.2	37.85	19.82	8.51	4.43	181.28	15.45	8.65	1.39	16.15	12.55	21.47	2.43	11.47	6.41	14.67	329.84	2.63	9.27	9.7	1.77	5.77	6.57	693.58	665.29	1111.82	3212.66	74.06	1259.69	17.0	2.01	14.14	11.13	18.97	39.22	19.82	114.36	1.2	753.83	209.84	808.0	199.85	395.18	59.55	255.0	21.01	232.94	854.13	791.35	1250.98	902.89	146.03	624.99	525.39	780.44	825.0
CSNK2B	4972.34	2645.74	3235.01	2895.31	2609.3	2739.08	3212.66	1936.53	4328.55	2434.5	2485.67	2287.2	2367.9	2573.36	3039.3	3060.45	3690.52	2682.69	3303.0	3081.75	3325.99	2537.92	2835.7	3349.13	2645.74	3039.3	3103.19	2573.36	3146.52	2875.3	5076.84	4972.34	4575.41	7331.05	6983.79	4736.79	3349.13	4639.29	3742.05	5831.91	3349.13	3280.18	7537.18	4937.99	2255.7	5954.47	5594.3	6381.92	5594.3	9344.14	4671.57	6207.38	3564.78	4450.27	4481.23	4512.4	5006.93	4298.64	3280.18	8778.97	6207.38	11827.67	8363.13
CUL9	684.02	251.48	420.68	327.56	323.03	381.68	518.15	198.47	511.0	303.44	343.89	249.73	271.48	392.44	361.04	351.14	295.11	271.48	341.51	423.61	387.02	253.23	325.29	267.73	323.03	267.73	368.65	312.0	432.53	361.04	376.41	450.94	486.75	417.77	267.73	660.68	444.72	591.22	277.2	166.73	297.17	603.67	567.1	660.68	96.68	406.31	921.88	813.63	808.0	1225.22	723.08	1081.39	514.56	825.0	656.11	503.95	555.41	743.43	525.39	878.17	909.17	961.07	551.56
DAXX	693.58	423.61	397.93	571.05	379.04	371.22	450.94	312.0	703.28	389.72	297.17	387.02	423.61	392.44	305.55	454.09	493.56	343.89	559.28	438.59	426.57	343.89	363.56	414.87	368.65	406.31	470.14	348.71	379.04	368.65	660.68	536.45	743.43	669.92	483.38	902.89	450.94	738.29	559.28	551.56	438.59	575.03	928.3	540.19	144.01	656.11	583.07	723.08	651.58	842.36	660.68	620.67	583.07	612.11	638.15	693.58	647.07	583.07	620.67	1832.01	1023.0	1757.34	1467.37
DERL2	1498.22	1119.56	941.27	1044.52	1030.12	854.13	1295.13	1008.9	1427.22	995.0	934.76	928.3	981.29	1104.13	1135.2	1159.07	1519.15	995.0	1088.92	1059.11	1529.73	1015.93	1135.2	1487.87	1268.46	1143.1	1259.69	1023.0	1073.91	974.5	1594.73	1508.65	1259.69	1617.0	748.61	1498.22	1322.37	2090.03	1870.53	2209.26	1286.18	1340.84	1883.54	1304.15	2609.3	1794.29	2384.37	3103.19	1923.14	1950.0	2119.22	2047.0	1477.58	1991.0	1457.23	1397.83	1794.29	1487.87	1487.87	1896.65	2573.36	2645.74	3955.48
DXO	1081.39	289.02	305.55	341.51	193.01	215.77	242.88	186.4	555.41	229.72	224.97	231.32	191.67	341.51	289.02	269.6	493.56	256.78	511.0	366.09	212.78	277.2	224.97	376.41	241.19	244.57	483.38	194.36	334.46	285.03	540.19	426.57	507.46	638.15	264.03	595.34	318.57	511.0	366.09	612.11	236.21	283.05	447.82	483.38	128.79	463.65	583.07	603.67	532.74	753.83	493.56	748.61	435.55	460.44	511.0	463.65	457.25	412.0	277.2	656.11	679.29	1001.93	848.22
EHMT2	1044.52	414.87	384.34	547.75	281.09	241.19	366.09	271.48	753.83	381.68	231.32	262.2	314.17	363.56	293.07	323.03	423.61	264.03	540.19	414.87	381.68	265.87	303.44	420.68	309.83	307.69	387.02	239.52	348.71	237.86	540.19	497.0	764.36	1037.29	669.92	1151.06	320.8	381.68	376.41	256.78	146.03	785.88	796.86	633.73	61.25	713.11	1015.93	1143.1	1023.0	1407.55	642.59	1023.0	579.04	860.08	967.76	842.36	743.43	688.78	334.46	2976.74	1745.2	4419.52	2209.26
EPN2	234.57	145.02	126.12	237.86	87.03	128.79	169.07	101.54	215.77	206.94	119.26	190.34	170.25	229.72	183.82	199.85	262.2	119.26	236.21	149.12	181.28	176.29	103.69	215.77	131.51	151.22	211.31	152.28	139.07	175.07	490.14	400.71	616.37	579.04	212.78	713.11	142.01	281.09	346.29	180.02	95.34	287.01	291.04	312.0	31.22	450.94	651.58	764.36	743.43	603.67	297.17	866.07	281.09	642.59	507.46	511.0	423.61	483.38	205.5	511.0	559.28	376.41	599.49
ERMARD	514.56	202.66	279.14	329.84	181.28	169.07	265.87	170.25	543.96	264.03	185.11	183.82	178.77	195.72	212.78	217.27	373.81	170.25	373.81	189.02	201.25	239.52	194.36	323.03	128.79	191.67	260.38	189.02	205.5	249.73	503.95	470.14	441.64	791.35	334.46	890.44	244.57	514.56	316.37	595.34	224.97	414.87	559.28	514.56	376.41	543.96	830.75	921.88	842.36	934.76	466.88	1304.15	429.54	579.04	629.35	587.13	500.46	587.13	397.93	743.43	995.0	514.56	595.34
