	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A0AZ.11A.22R.A12P.07	TCGA.BH.A18Q.11A.34R.A12D.07	GTEX.S4P3.1326.SM.4AD6V	TCGA.B8.5552.11A.01R.1672.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.7794.01A.11R.2118.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.G9.6499.01A.12R.1965.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.VP.AA1N.01A.31R.A41O.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.J4.8198.01A.11R.2263.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5745.01A.11R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07
ACOT8	301.33	387.02	341.51	325.29	260.38	708.18	769.69	1628.26	928.3	583.07	884.29	563.18	796.86	1781.89	1119.56	813.63	612.11	1008.9	688.78	1183.45	1037.29	599.49	1583.71	579.04	1191.69	1199.98	915.51	1066.48	1081.39	921.88	981.29	988.12	1073.91	1225.22	934.76	954.43	642.59	1233.75	988.12	507.46	981.29	1081.39	988.12	1119.56	1088.92	981.29	848.22	961.07	1135.2	1059.11	733.19	836.53	1135.2	1572.76	738.29	981.29	1119.56	808.0	679.29	1066.48	1081.39	988.12	1001.93	764.36	1259.69	872.1	902.89	723.08	738.29	836.53	1572.76	988.12	1216.75	738.29	748.61	981.29	775.05	1030.12	1096.5	591.22	647.07	769.69	665.29	1088.92	599.49	941.27	780.44	1340.84	1023.0	603.67	954.43	1167.14	854.13	674.59	1183.45	1540.37	1119.56	1151.06	954.43	743.43	1051.79	1143.1	1111.82	1313.23	1008.9	1388.16	1023.0	866.07	723.08	954.43	1030.12	780.44	1015.93	1111.82
ADRM1	1225.22	1304.15	1277.29	1119.56	1191.69	1991.0	2976.74	3124.78	2956.17	1540.37	2417.67	1551.09	1745.2	3820.7	2895.31	2777.33	1583.71	2777.33	2018.8	3303.0	2627.46	2004.85	3467.27	1487.87	2520.38	2609.3	2319.15	3467.27	2537.92	2148.82	2400.97	2645.74	2451.44	3491.39	2701.35	3018.3	1781.89	3639.7	2400.97	1721.16	2739.08	2417.67	2976.74	2537.92	1963.57	2209.26	2720.15	3235.01	2240.11	1883.54	2032.85	1844.76	2875.3	4210.15	1991.0	2537.92	2520.38	2061.24	1832.01	2573.36	3820.7	2627.46	2555.58	3190.46	3124.78	2502.97	2976.74	2573.36	1781.89	2537.92	3564.78	2104.58	2367.9	2434.5	2061.24	1721.16	2451.44	2335.28	1781.89	1794.29	1508.65	1963.57	2061.24	2520.38	1963.57	2485.67	2319.15	3280.18	2502.97	1857.6	2537.92	2682.69	2148.82	2004.85	2758.13	3443.31	3257.52	2119.22	3280.18	1745.2	2664.15	3491.39	2537.92	2976.74	2451.44	3146.52	2591.27	2104.58	1991.0	2451.44	2720.15	2178.83	2032.85	2555.58
ANAPC11	1447.15	1674.06	1617.0	1242.34	1081.39	3235.01	4210.15	6792.79	4419.52	2573.36	5006.93	3349.13	3794.3	7642.41	6337.83	4704.07	2502.97	5041.77	3235.01	5913.33	4512.4	3491.39	6337.83	2739.08	5147.73	5672.41	4836.35	5255.91	5711.87	4736.79	5183.54	5112.16	4937.99	7081.29	4512.4	5006.93	2777.33	6381.92	5006.93	2956.17	6164.49	4512.4	5147.73	5672.41	5517.27	4937.99	4736.79	4210.15	4328.55	2895.31	3639.7	3768.09	8134.41	8538.88	3982.99	4481.23	7911.95	4239.45	2835.7	4972.34	9540.5	4639.29	5292.48	6121.9	7180.15	4575.41	5112.16	2997.45	2915.45	3982.99	4095.0	4358.66	5872.48	4298.64	3018.3	4066.71	4607.24	4937.99	4836.35	2451.44	3235.01	3665.02	3103.19	5292.48	2758.13	4836.35	3235.01	7857.29	5006.93	2935.74	6250.56	4802.93	4575.41	3018.3	6471.02	4903.87	5594.3	6840.04	5913.33	3847.29	5633.22	5517.27	5329.3	6840.04	5183.54	6207.38	5954.47	4481.23	4419.52	5006.93	6207.38	4123.49	5006.93	6792.79
AP2S1	1208.34	1551.09	1697.45	1457.23	1059.11	3768.09	2895.31	6887.62	3395.89	1896.65	4512.4	2163.77	3443.31	9279.58	5041.77	4704.07	3349.13	3515.68	3168.41	5954.47	2645.74	2591.27	5751.61	2720.15	6471.02	6164.49	3280.18	5329.3	8840.04	4152.18	6935.54	3716.2	4181.07	9945.68	3874.05	2520.38	2434.5	5791.62	6207.38	1662.49	5403.7	3349.13	4575.41	3212.66	5366.37	3820.7	3190.46	4575.41	5041.77	5006.93	2739.08	3820.7	3639.7	5831.91	1733.13	4836.35	7081.29	2573.36	2018.8	3146.52	7081.29	4123.49	3982.99	4543.8	5076.84	2537.92	3124.78	4704.07	2609.3	2224.63	3419.52	3564.78	7180.15	3820.7	1757.34	2255.7	4671.57	6516.03	2555.58	1963.57	2855.44	2417.67	2855.44	3690.52	1832.01	2609.3	2061.24	7032.37	3060.45	2701.35	2796.65	3395.89	3372.43	1781.89	6037.61	3847.29	3190.46	2451.44	2855.44	4066.71	6294.04	3614.55	6887.62	3742.05	2645.74	3901.01	3124.78	2997.45	4066.71	4123.49	4704.07	2956.17	4671.57	3280.18
ATP6V0C	1977.24	2047.0	2224.63	2351.53	2777.33	4268.94	4239.45	7382.04	5633.22	2739.08	5006.93	3190.46	3419.52	7280.4	4512.4	4639.29	2682.69	5219.6	3540.14	8538.88	3901.01	4268.94	8247.98	2956.17	5441.3	6426.31	3564.78	7081.29	4736.79	4869.99	4481.23	5872.48	5831.91	6381.92	5479.15	6250.56	2796.65	6250.56	5292.48	2835.7	5594.3	4066.71	6471.02	5872.48	5255.91	4328.55	4704.07	6294.04	3614.55	5555.65	3820.7	4010.71	5076.84	7589.61	3982.99	6840.04	5112.16	3018.3	3257.52	4869.99	9088.59	5292.48	6207.38	8901.53	4704.07	4869.99	6037.61	5872.48	3124.78	3955.48	3820.7	4358.66	5366.37	5329.3	4607.24	4607.24	7966.99	5954.47	2956.17	2335.28	2935.74	3564.78	4268.94	6037.61	2895.31	4972.34	3443.31	8479.89	3168.41	3325.99	4010.71	5006.93	4239.45	3491.39	6337.83	5711.87	7081.29	5995.9	7081.29	3235.01	4512.4	5329.3	5255.91	6037.61	6121.9	3443.31	3928.15	4575.41	4328.55	4388.98	5831.91	4704.07	2591.27	4543.8
AURKAIP1	1175.27	1322.37	1159.07	1044.52	995.0	2255.7	2855.44	4607.24	2796.65	1651.0	3540.14	1896.65	2417.67	4543.8	3614.55	3794.3	1733.13	3168.41	2032.85	3874.05	3168.41	2303.12	4450.27	1844.76	3589.58	4010.71	2645.74	3443.31	3874.05	3212.66	3955.48	3768.09	3794.3	5366.37	3325.99	3443.31	1883.54	3901.01	3665.02	1709.26	4736.79	3349.13	3124.78	4358.66	4181.07	3212.66	2935.74	3235.01	3349.13	2224.63	2555.58	2417.67	5041.77	5995.9	2520.38	3039.3	4903.87	2255.7	1896.65	3168.41	4704.07	4095.0	3212.66	4095.0	4937.99	3081.75	3768.09	2119.22	2434.5	3124.78	2609.3	2956.17	4123.49	3212.66	2061.24	2777.33	3419.52	4298.64	3146.52	1806.78	1844.76	2835.7	2032.85	3280.18	2178.83	3874.05	2502.97	5403.7	3467.27	2032.85	3018.3	4038.61	2997.45	2400.97	5255.91	2976.74	4010.71	3467.27	4328.55	2384.37	3564.78	3540.14	3081.75	4543.8	3928.15	4543.8	3820.7	2627.46	2367.9	2875.3	4095.0	2303.12	3060.45	4181.07
BAD	1073.91	1111.82	981.29	802.41	642.59	1963.57	2133.97	3564.78	2895.31	1059.11	2502.97	1167.14	1806.78	4239.45	2935.74	2384.37	1191.69	2502.97	1963.57	4095.0	2417.67	2090.03	3491.39	1378.57	2537.92	3039.3	2335.28	3146.52	2537.92	2573.36	2682.69	3395.89	3190.46	3589.58	2502.97	3742.05	1295.13	3419.52	2502.97	1388.16	3257.52	2287.2	2351.53	1427.22	3018.3	2178.83	2758.13	3124.78	2520.38	1685.71	1407.55	1883.54	3372.43	4388.98	1870.53	2537.92	3039.3	2148.82	1487.87	2591.27	4769.75	2209.26	3467.27	3742.05	3716.2	2303.12	2915.45	2627.46	1551.09	2075.59	1832.01	2758.13	3124.78	2240.11	1745.2	2468.49	2485.67	2935.74	2271.4	934.76	1225.22	2303.12	1540.37	2720.15	1745.2	2502.97	1883.54	4210.15	2555.58	1561.89	2664.15	2664.15	2271.4	1909.85	3060.45	2573.36	3419.52	2796.65	2739.08	1322.37	3257.52	3515.68	2485.67	3372.43	3212.66	3303.0	2796.65	2555.58	2434.5	2935.74	3018.3	2351.53	2090.03	3395.89
BANF1	3168.41	3280.18	3665.02	3515.68	3060.45	3372.43	4704.07	5872.48	5292.48	3564.78	3847.29	3639.7	3742.05	7433.4	6561.36	5076.84	3395.89	5366.37	3303.0	5995.9	3716.2	3665.02	5995.9	4095.0	4769.75	6207.38	5479.15	4704.07	4543.8	4802.93	4298.64	5594.3	6037.61	6699.25	3928.15	3419.52	3564.78	7537.18	4481.23	3515.68	4736.79	4869.99	3847.29	5076.84	4038.61	4152.18	4937.99	4239.45	4607.24	3614.55	4481.23	4419.52	5831.91	5594.3	3820.7	3665.02	6164.49	4802.93	3190.46	4869.99	6935.54	4869.99	4298.64	4736.79	5517.27	4268.94	4972.34	3146.52	3665.02	4512.4	4419.52	5441.3	4239.45	3768.09	3515.68	3716.2	5517.27	5255.91	4736.79	4066.71	4419.52	3794.3	3395.89	4869.99	3540.14	4543.8	3564.78	6792.79	5329.3	3280.18	4123.49	6516.03	3847.29	3325.99	6699.25	4328.55	5672.41	6840.04	5555.65	3716.2	5076.84	5594.3	4419.52	6294.04	4123.49	6337.83	4972.34	4769.75	4543.8	5872.48	7032.37	4152.18	6792.79	7911.95
BAX	1104.13	1417.35	1457.23	1277.29	1572.76	1662.49	2104.58	4210.15	3742.05	1594.73	2319.15	2018.8	1832.01	2935.74	2520.38	2061.24	1757.34	2777.33	2434.5	2855.44	2255.7	2193.99	4512.4	1572.76	2335.28	3901.01	2271.4	3060.45	2573.36	2682.69	2627.46	3168.41	2119.22	2573.36	2255.7	2335.28	1781.89	5076.84	2537.92	1216.75	2400.97	2555.58	3349.13	2485.67	1909.85	1508.65	2148.82	4010.71	2451.44	1832.01	1963.57	2018.8	3146.52	4066.71	1378.57	2351.53	2485.67	2271.4	1950.0	3372.43	2997.45	2875.3	3794.3	3491.39	3039.3	2855.44	3349.13	2047.0	2075.59	2935.74	579.04	2351.53	2758.13	2720.15	2119.22	2417.67	2855.44	2520.38	2502.97	2018.8	1340.84	1628.26	1551.09	3280.18	2400.97	2384.37	2271.4	3443.31	3124.78	1819.35	2287.2	3742.05	2193.99	1540.37	3564.78	2468.49	3419.52	1909.85	2816.11	1963.57	2090.03	2895.31	3018.3	3103.19	3235.01	2855.44	3515.68	2384.37	1467.37	1540.37	2319.15	1883.54	2287.2	2645.74
BCAP31	4210.15	4038.61	4328.55	4512.4	3639.7	5403.7	5872.48	10014.87	7433.4	4836.35	5403.7	4704.07	5517.27	8778.97	8840.04	6471.02	5292.48	6840.04	4704.07	8247.98	5594.3	5517.27	8718.32	4802.93	8479.89	8134.41	6561.36	7032.37	6471.02	5112.16	6935.54	6935.54	8901.53	8479.89	6381.92	6294.04	5329.3	10225.32	6164.49	3467.27	6840.04	6935.54	6516.03	6294.04	6516.03	6079.61	6516.03	6207.38	7331.05	6381.92	6607.01	6337.83	7695.57	8305.36	5006.93	7032.37	7695.57	4903.87	4419.52	8022.41	8901.53	5517.27	5954.47	6561.36	7589.61	5913.33	7032.37	5633.22	4671.57	5672.41	6381.92	7130.55	7130.55	6745.86	4268.94	4937.99	5147.73	7280.4	5147.73	4481.23	6079.61	5292.48	5329.3	5403.7	5041.77	7382.04	5112.16	11112.3	6745.86	5292.48	4836.35	6792.79	5219.6	5183.54	8421.31	6887.62	5791.62	6745.86	8134.41	5555.65	6935.54	6207.38	6887.62	7433.4	5995.9	7433.4	6164.49	6561.36	6561.36	7803.01	9673.69	6426.31	7382.04	9876.98
BLOC1S1	2400.97	1857.6	2163.77	2537.92	1769.57	3039.3	3168.41	6561.36	3280.18	2875.3	4239.45	2303.12	3081.75	7803.01	4972.34	4066.71	2163.77	4869.99	2335.28	6381.92	3372.43	2997.45	5292.48	2520.38	5041.77	5219.6	4239.45	4639.29	5292.48	4239.45	5517.27	5183.54	5441.3	6471.02	3874.05	3168.41	2720.15	6121.9	4123.49	2061.24	5517.27	3768.09	3690.52	5711.87	5633.22	3540.14	4268.94	2816.11	3847.29	3235.01	3742.05	4328.55	2875.3	5751.61	2451.44	4181.07	10225.32	2935.74	1378.57	3349.13	7230.1	3212.66	4388.98	4937.99	4450.27	3515.68	5112.16	2664.15	2758.13	2682.69	3564.78	3820.7	5329.3	2997.45	2434.5	2240.11	3235.01	6516.03	2915.45	2032.85	3639.7	3103.19	2875.3	4575.41	2133.97	3614.55	1909.85	8305.36	3349.13	2384.37	3168.41	3372.43	3690.52	2573.36	6745.86	3847.29	5954.47	4937.99	3901.01	3039.3	5479.15	2835.7	4181.07	5831.91	4903.87	6840.04	3742.05	4736.79	4239.45	4869.99	5112.16	3901.01	5995.9	6121.9
C11orf48	1183.45	1277.29	1015.93	954.43	1540.37	3081.75	2351.53	5633.22	2777.33	1923.14	4512.4	2032.85	2682.69	5292.48	3665.02	3614.55	1733.13	3589.58	2163.77	3982.99	3820.7	2018.8	4869.99	2178.83	4481.23	4972.34	3081.75	3235.01	5366.37	3639.7	4607.24	3039.3	3589.58	5711.87	2739.08	2240.11	2090.03	5041.77	4298.64	2133.97	5112.16	4210.15	3280.18	5183.54	5292.48	2935.74	2018.8	2148.82	3820.7	3665.02	3103.19	2758.13	5517.27	5292.48	2271.4	2796.65	8963.45	1819.35	2004.85	3168.41	3847.29	4066.71	4095.0	4066.71	3639.7	2555.58	4181.07	2119.22	2537.92	2935.74	3325.99	2777.33	5041.77	3280.18	2609.3	2255.7	2875.3	5403.7	3060.45	1936.53	2384.37	2739.08	2351.53	4010.71	1769.57	3303.0	2047.0	6607.01	3515.68	2163.77	2148.82	3372.43	3847.29	2502.97	6079.61	3665.02	3794.3	4239.45	1769.57	3103.19	4671.57	2739.08	3928.15	5219.6	4328.55	5292.48	3515.68	2645.74	2758.13	2645.74	3280.18	2417.67	3419.52	3820.7
C11orf83	116.78	114.36	102.97	63.45	61.25	480.04	366.09	1151.06	454.09	194.36	848.22	226.54	423.61	775.05	633.73	567.1	253.23	575.03	466.88	764.36	647.07	403.5	842.36	271.48	872.1	819.3	518.15	579.04	1151.06	599.49	1051.79	579.04	595.34	1088.92	599.49	536.45	231.32	825.0	796.86	273.37	1066.48	603.67	633.73	988.12	947.83	536.45	444.72	444.72	559.28	426.57	341.51	395.18	934.76	1066.48	486.75	503.95	1721.16	457.25	279.14	620.67	785.88	674.59	688.78	780.44	896.64	575.03	674.59	341.51	339.14	518.15	555.41	551.56	1044.52	753.83	334.46	591.22	612.11	1191.69	684.02	209.84	260.38	457.25	334.46	764.36	327.56	674.59	429.54	1304.15	583.07	351.14	414.87	583.07	684.02	486.75	1066.48	583.07	866.07	866.07	343.89	395.18	830.75	490.14	738.29	934.76	723.08	947.83	780.44	400.71	466.88	470.14	559.28	379.04	444.72	651.58
C19orf53	2148.82	2451.44	2303.12	2018.8	1950.0	2682.69	3419.52	4268.94	3847.29	2163.77	3146.52	1781.89	3039.3	5479.15	5219.6	4419.52	2451.44	3257.52	2609.3	4769.75	2816.11	2485.67	4736.79	2468.49	4268.94	4869.99	4181.07	3515.68	4298.64	3419.52	4419.52	4066.71	4388.98	5995.9	2956.17	3325.99	2915.45	5517.27	4038.61	2193.99	4450.27	3665.02	3303.0	3742.05	3928.15	3168.41	3874.05	2935.74	3690.52	2520.38	2976.74	2816.11	4607.24	5076.84	2104.58	2758.13	5791.62	3690.52	2335.28	3325.99	4543.8	2777.33	3639.7	4736.79	4152.18	2935.74	4181.07	2777.33	2875.3	2816.11	3039.3	4095.0	3982.99	2997.45	2720.15	2956.17	2645.74	4152.18	3794.3	2367.9	2645.74	3419.52	2485.67	3874.05	2537.92	3639.7	2485.67	4903.87	3742.05	2351.53	3103.19	3690.52	3039.3	2976.74	5041.77	3395.89	4298.64	6699.25	4704.07	2739.08	4543.8	3901.01	3665.02	4639.29	3419.52	4512.4	3901.01	3690.52	3665.02	4450.27	4937.99	3103.19	4937.99	4937.99
C19orf70	921.88	954.43	1044.52	1183.45	934.76	1331.57	1331.57	3540.14	2032.85	848.22	1991.0	1350.18	1757.34	3081.75	2133.97	1844.76	796.86	2178.83	1313.23	2090.03	1857.6	1250.98	2895.31	1183.45	2224.63	2520.38	1936.53	2133.97	2451.44	1909.85	2367.9	2417.67	2367.9	2591.27	1745.2	1923.14	1111.82	3190.46	1844.76	1135.2	2796.65	2148.82	1697.45	2627.46	2061.24	1794.29	2193.99	1662.49	2163.77	1397.83	1498.22	1639.59	2573.36	3190.46	1151.06	1685.71	3349.13	1721.16	1081.39	1806.78	1896.65	2485.67	2075.59	2739.08	2468.49	1909.85	2224.63	1340.84	1651.0	1721.16	1819.35	1781.89	2573.36	1674.06	1111.82	1529.73	1378.57	2271.4	1977.24	1216.75	1104.13	1407.55	1088.92	1909.85	1066.48	2224.63	1199.98	3303.0	2004.85	1191.69	1806.78	2739.08	2004.85	1540.37	3190.46	2119.22	2367.9	2720.15	2335.28	1457.23	2209.26	1896.65	2255.7	2627.46	1909.85	2701.35	2351.53	1896.65	1519.15	2075.59	2271.4	1583.71	2004.85	2520.38
CCDC12	1015.93	1304.15	967.76	915.51	1081.39	1191.69	1519.15	2240.11	1561.89	1407.55	1651.0	860.08	1304.15	2104.58	1963.57	1583.71	1023.0	2075.59	1277.29	1781.89	1832.01	1388.16	2520.38	1044.52	1540.37	2367.9	2061.24	1721.16	1950.0	1313.23	2163.77	2451.44	1857.6	2255.7	2104.58	1508.65	988.12	2855.44	1378.57	563.18	1757.34	1697.45	1519.15	2090.03	1605.83	1331.57	1551.09	1561.89	1417.35	638.15	1331.57	1225.22	2351.53	2739.08	1127.35	1883.54	3018.3	1407.55	1104.13	1923.14	2701.35	1457.23	1662.49	2032.85	2104.58	1977.24	2224.63	981.29	1088.92	1457.23	1225.22	1540.37	1806.78	1697.45	1044.52	1628.26	1950.0	1950.0	1498.22	1096.5	1096.5	1417.35	1059.11	2224.63	1175.27	1417.35	1295.13	2591.27	1674.06	1044.52	1286.18	2018.8	1242.34	1295.13	2935.74	1369.04	2240.11	1757.34	1477.58	1143.1	2163.77	1111.82	1519.15	1709.26	2400.97	2335.28	2104.58	1674.06	1508.65	1923.14	1883.54	1417.35	2351.53	2090.03
CCDC124	802.41	954.43	723.08	674.59	708.18	1295.13	1936.53	2400.97	2240.11	1015.93	1781.89	934.76	1551.09	3564.78	2417.67	2451.44	808.0	2209.26	1583.71	2520.38	2178.83	1685.71	3018.3	1208.34	2133.97	2682.69	1923.14	2609.3	2627.46	1936.53	2777.33	2627.46	2555.58	3018.3	2119.22	2075.59	921.88	2777.33	1963.57	974.5	2627.46	2004.85	2193.99	2895.31	2004.85	1794.29	1977.24	1662.49	1977.24	1037.29	1096.5	1388.16	2485.67	3443.31	1268.46	2032.85	2758.13	1529.73	1135.2	2384.37	3190.46	1963.57	2240.11	2400.97	3060.45	1909.85	2351.53	2591.27	1233.75	1745.2	1561.89	1870.53	2047.0	1883.54	1467.37	1857.6	1745.2	2520.38	1639.59	748.61	941.27	1639.59	1359.57	2148.82	1233.75	2133.97	1617.0	3564.78	1963.57	1216.75	1844.76	2271.4	1991.0	1551.09	2915.45	1909.85	2400.97	2468.49	2468.49	1051.79	2271.4	2451.44	1540.37	2520.38	1883.54	2417.67	2271.4	1594.73	1662.49	2018.8	2758.13	1674.06	1417.35	2163.77
CCDC167	255.0	256.78	249.73	299.25	332.14	764.36	928.3	2004.85	1159.07	518.15	1135.2	728.11	1143.1	2047.0	1397.83	1216.75	579.04	1467.37	974.5	1417.35	1322.37	967.76	2061.24	638.15	1487.87	1819.35	1551.09	1617.0	1697.45	1378.57	1498.22	1388.16	1487.87	1605.83	1295.13	1519.15	743.43	974.5	988.12	500.46	1963.57	1369.04	1259.69	1832.01	1605.83	813.63	872.1	915.51	1498.22	1143.1	1216.75	1175.27	1909.85	1883.54	947.83	1037.29	2400.97	878.17	759.08	836.53	3146.52	866.07	1369.04	896.64	1674.06	1030.12	1561.89	764.36	656.11	909.17	1044.52	909.17	1151.06	890.44	536.45	738.29	392.44	1508.65	947.83	785.88	1066.48	941.27	915.51	974.5	525.39	1208.34	669.92	2240.11	1286.18	753.83	909.17	1208.34	1457.23	995.0	1936.53	785.88	1096.5	1529.73	1151.06	1015.93	1662.49	1135.2	1350.18	1819.35	1457.23	2451.44	1175.27	1350.18	1417.35	1529.73	1437.15	1127.35	2163.77	1639.59
CHCHD5	486.75	688.78	579.04	400.71	432.53	884.29	981.29	2104.58	1199.98	483.38	1437.15	656.11	1030.12	1844.76	1487.87	1088.92	591.22	1304.15	764.36	1498.22	1167.14	909.17	1639.59	669.92	1477.58	1806.78	1023.0	1583.71	1561.89	1427.22	1477.58	1519.15	1378.57	1757.34	1111.82	1104.13	769.69	2018.8	1111.82	656.11	1551.09	1175.27	1277.29	1508.65	1437.15	1008.9	1268.46	1088.92	1350.18	583.07	1023.0	1191.69	1781.89	2047.0	921.88	1135.2	1844.76	961.07	738.29	1183.45	2209.26	1175.27	1369.04	1594.73	1628.26	1199.98	1639.59	1023.0	819.3	934.76	988.12	1250.98	1437.15	1066.48	679.29	1119.56	1073.91	1498.22	1388.16	808.0	688.78	1030.12	723.08	1277.29	713.11	1199.98	872.1	1883.54	1378.57	665.29	934.76	1359.57	1340.84	759.08	1242.34	1143.1	1359.57	1437.15	1159.07	1151.06	1268.46	1259.69	1685.71	1721.16	1183.45	1111.82	1369.04	1104.13	1175.27	1037.29	1350.18	1015.93	1216.75	1508.65
CLTA	2956.17	3103.19	2777.33	3874.05	3395.89	3665.02	3847.29	5995.9	5076.84	3742.05	3982.99	4328.55	4010.71	5366.37	4802.93	5147.73	3847.29	5292.48	3665.02	5112.16	4543.8	3768.09	6037.61	4181.07	4512.4	5329.3	5479.15	4123.49	5183.54	4512.4	5517.27	4769.75	5995.9	5913.33	4543.8	4543.8	3982.99	7331.05	5147.73	3081.75	4903.87	4869.99	4543.8	5219.6	5076.84	3742.05	4736.79	4239.45	4152.18	3515.68	4481.23	4358.66	5147.73	7230.1	3419.52	4903.87	7803.01	4575.41	3955.48	5329.3	5633.22	4066.71	5292.48	5147.73	6037.61	5292.48	5594.3	3190.46	4543.8	3665.02	3589.58	4972.34	5594.3	5112.16	3212.66	2303.12	4607.24	5441.3	5831.91	4481.23	4704.07	4152.18	4123.49	5751.61	3018.3	5555.65	3820.7	5479.15	4836.35	4639.29	3768.09	6037.61	4152.18	4358.66	6164.49	5041.77	4802.93	5147.73	6121.9	4095.0	5441.3	4123.49	4328.55	4972.34	5672.41	5954.47	5517.27	4704.07	4543.8	5366.37	5255.91	4358.66	5292.48	5329.3
