	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.EW.A1OY.01A.11R.A144.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.A8.A08O.01A.21R.A056.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.BH.A0HB.01A.11R.A056.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.E9.A22D.01A.11R.A157.07	TCGA.C8.A12U.01A.11R.A115.07	TCGA.AN.A0XT.01A.11R.A109.07	TCGA.E2.A1IE.01A.11R.A13Q.07	TCGA.A2.A1FX.01A.11R.A13Q.07	TCGA.OL.A66H.01A.11R.A29R.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.B6.A0WT.01A.11R.A109.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.A8.A092.01A.11R.A00Z.07	TCGA.E9.A1RD.01A.11R.A157.07	TCGA.E9.A22A.01A.11R.A157.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1XS.01A.11R.A14M.07	TCGA.AR.A0TZ.01A.12R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.AR.A2LO.01A.31R.A18M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.AR.A0TV.01A.21R.A084.07	TCGA.AN.A046.01A.21R.A034.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.EW.A1PD.01A.11R.A144.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.E2.A10A.01A.21R.A115.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.A2.A0YC.01A.11R.A109.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.EW.A1P6.01A.11R.A144.07	TCGA.E2.A1IU.01A.11R.A14D.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.A7.A3IZ.01A.11R.A213.07	TCGA.A8.A09R.01A.11R.A00Z.07	TCGA.BH.A0B8.01A.21R.A056.07	TCGA.A8.A08G.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.E2.A15D.01A.11R.A115.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.E2.A14S.01A.11R.A12D.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.AR.A24K.01A.11R.A169.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.E9.A22B.01A.11R.A157.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.A2.A0CP.01A.11R.A034.07	TCGA.JL.A3YX.01A.11R.A22U.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A2.A4S0.01A.21R.A266.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.D8.A1JC.01A.11R.A13Q.07	TCGA.A8.A09B.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.BH.A0E2.01A.11R.A056.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.A7.A3RF.01A.11R.A22K.07	TCGA.C8.A1HG.01A.11R.A137.07	TCGA.BH.A0HO.01A.11R.A034.07	TCGA.BH.A18N.01A.11R.A12D.07	TCGA.A8.A07P.01A.11R.A00Z.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15H.01A.11R.A12D.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.A8.A07W.01A.11R.A00Z.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.D8.A1X5.01A.11R.A14D.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.E9.A1NI.01A.11R.A14D.07	GTEX.14AS3.1626.SM.5S2OY	TCGA.AK.3447.01A.01R.1766.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.ZS.A9CG.01A.11R.A37K.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.G3.A5SJ.01A.11R.A27V.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.DD.AACY.01A.11R.A41C.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.BC.A10Z.11A.11R.A131.07	TCGA.BC.A10W.11A.11R.A131.07	GTEX.145MO.2326.SM.5NQ9K	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.REY6.1226.SM.48FDR
ACAP2	107.38	155.5	470.14	332.14	417.77	679.29	205.5	212.78	466.88	379.04	281.09	156.59	154.42	166.73	244.57	229.72	191.67	159.9	255.0	447.82	353.59	201.25	149.12	441.64	186.4	473.41	327.56	248.0	327.56	289.02	229.72	293.07	368.65	454.09	172.65	327.56	267.73	223.41	253.23	220.32	231.32	224.97	177.53	120.94	283.05	444.72	251.48	172.65	199.85	307.69	258.57	242.88	336.79	289.02	193.01	327.56	191.67	336.79	307.69	551.56	486.75	244.57	460.44	536.45	346.29	255.0	223.41	279.14	329.84	441.64	181.28	205.5	595.34	376.41	229.72	414.87	316.37	201.25	279.14	186.4	149.12	111.99	332.14	162.14	145.02	275.28	301.33	303.44	295.11	536.45	312.0	314.17	281.09	332.14	312.0	237.86	279.14	226.54	167.9	136.19	289.02	244.57	307.69	239.52	275.28	204.07	228.13	217.27	376.41	346.29	256.78	206.94	521.76	162.14	265.87	164.42	176.29	111.21	127.89	71.5	66.18	106.63	109.66	81.14	96.68	62.12	85.82	102.97	86.43	88.26	108.14	73.03	63.89	52.08	84.63	90.14	69.03	77.25	113.56	137.14	70.51	84.04	218.79	74.06	48.87	69.03	82.87	92.7	97.36	94.67	60.82	76.71	68.07	113.56
ADCY6	198.47	100.13	785.88	830.75	373.81	679.29	1073.91	579.04	307.69	1051.79	1313.23	521.76	647.07	450.94	406.31	332.14	587.13	318.57	836.53	872.1	775.05	748.61	728.11	896.64	896.64	403.5	738.29	547.75	878.17	872.1	303.44	688.78	642.59	1183.45	1119.56	1233.75	1259.69	450.94	748.61	376.41	1023.0	447.82	785.88	525.39	616.37	698.41	423.61	1037.29	429.54	967.76	518.15	684.02	551.56	713.11	1437.15	928.3	511.0	780.44	679.29	748.61	607.87	603.67	1104.13	961.07	395.18	1551.09	295.11	780.44	1199.98	679.29	583.07	733.19	583.07	1066.48	1030.12	500.46	684.02	224.97	339.14	483.38	543.96	995.0	555.41	728.11	529.06	1183.45	995.0	665.29	293.07	775.05	890.44	1529.73	518.15	981.29	493.56	303.44	1208.34	808.0	642.59	620.67	143.01	603.67	860.08	703.28	543.96	1199.98	1037.29	1015.93	764.36	764.36	791.35	309.83	454.09	1051.79	684.02	656.11	473.41	68.07	460.44	103.69	190.34	209.84	234.57	215.77	265.87	295.11	256.78	211.31	265.87	236.21	457.25	229.72	283.05	260.38	312.0	316.37	226.54	142.01	228.13	376.41	381.68	156.59	339.14	297.17	90.77	63.89	48.52	80.01	103.69	73.03	66.65	29.7	25.35	89.51
ANKIB1	201.25	224.97	633.73	559.28	665.29	674.59	314.17	420.68	275.28	825.0	928.3	325.29	255.0	271.48	417.77	373.81	269.6	323.03	441.64	507.46	435.55	309.83	153.34	616.37	262.2	595.34	543.96	351.14	473.41	438.59	389.72	480.04	660.68	753.83	249.73	587.13	351.14	490.14	454.09	323.03	543.96	232.94	281.09	327.56	575.03	603.67	473.41	271.48	384.34	525.39	490.14	193.01	417.77	493.56	387.02	409.15	470.14	409.15	438.59	1073.91	1104.13	426.57	346.29	591.22	363.56	463.65	309.83	503.95	395.18	708.18	336.79	395.18	785.88	674.59	275.28	934.76	339.14	285.03	348.71	303.44	255.0	236.21	595.34	435.55	248.0	409.15	361.04	327.56	395.18	902.89	555.41	547.75	518.15	486.75	289.02	339.14	483.38	346.29	287.01	155.5	346.29	312.0	283.05	454.09	595.34	327.56	392.44	358.54	775.05	753.83	348.71	323.03	320.8	237.86	420.68	334.46	136.19	72.01	143.01	72.01	64.34	81.14	107.38	127.0	94.67	80.57	63.45	87.03	57.08	70.01	121.79	103.69	57.49	72.52	72.52	99.43	73.54	94.01	173.85	117.6	106.63	61.25	167.9	110.43	57.89	73.54	84.63	99.43	111.99	94.67	61.25	42.41	29.91	75.11
ARPP19	559.28	583.07	2739.08	1709.26	2468.49	1477.58	1350.18	1081.39	1674.06	1551.09	2997.45	1059.11	1208.34	1119.56	2047.0	1508.65	1233.75	1407.55	1977.24	2271.4	1583.71	995.0	791.35	1674.06	1617.0	2367.9	2004.85	1769.57	941.27	1651.0	1794.29	1674.06	2303.12	2178.83	2004.85	1529.73	1923.14	1572.76	1769.57	1572.76	2119.22	1457.23	1295.13	769.69	2104.58	1769.57	2075.59	1551.09	1066.48	2451.44	1594.73	1437.15	1745.2	1639.59	1437.15	1594.73	1369.04	2240.11	1662.49	2875.3	2555.58	1233.75	1832.01	2271.4	1191.69	988.12	2875.3	1909.85	1540.37	2400.97	1127.35	1073.91	2193.99	1832.01	1350.18	2664.15	1250.98	2075.59	1605.83	1529.73	1030.12	743.43	1923.14	1617.0	1304.15	1268.46	1745.2	1427.22	1369.04	2104.58	1167.14	1605.83	1540.37	2004.85	2133.97	1651.0	1551.09	6037.61	1844.76	1369.04	1096.5	1870.53	1909.85	4210.15	2061.24	941.27	1651.0	872.1	2555.58	1605.83	1447.15	1870.53	1909.85	995.0	1757.34	1008.9	1175.27	1340.84	656.11	511.0	438.59	612.11	329.84	305.55	525.39	348.71	497.0	518.15	620.67	616.37	866.07	423.61	426.57	466.88	412.0	476.71	387.02	507.46	718.08	620.67	209.84	299.25	571.05	490.14	267.73	511.0	571.05	395.18	563.18	435.55	400.71	363.56	457.25	376.41
ASH1L	83.45	59.97	571.05	536.45	334.46	463.65	293.07	312.0	287.01	518.15	409.15	171.45	220.32	118.43	511.0	232.94	171.45	130.6	381.68	521.76	503.95	140.04	223.41	703.28	334.46	595.34	358.54	253.23	521.76	575.03	226.54	323.03	599.49	503.95	218.79	536.45	463.65	262.2	305.55	269.6	297.17	236.21	236.21	199.85	353.59	624.99	366.09	358.54	209.84	441.64	256.78	256.78	368.65	679.29	373.81	796.86	403.5	406.31	543.96	503.95	638.15	269.6	808.0	718.08	497.0	551.56	277.2	791.35	397.93	426.57	295.11	277.2	486.75	460.44	180.02	1081.39	246.28	172.65	346.29	429.54	181.28	273.37	348.71	190.34	138.1	309.83	318.57	432.53	351.14	748.61	563.18	327.56	463.65	409.15	764.36	273.37	258.57	417.77	237.86	182.55	140.04	397.93	325.29	248.0	366.09	170.25	363.56	441.64	660.68	392.44	466.88	169.07	624.99	366.09	493.56	248.0	109.66	16.63	129.69	54.33	48.18	104.42	56.68	76.71	117.6	72.52	57.08	86.43	36.79	52.82	232.94	98.73	54.33	64.8	47.17	185.11	55.1	93.35	85.22	108.9	97.36	116.78	114.36	85.82	24.11	60.82	74.58	66.18	73.03	46.5	35.5	35.25	37.05	47.17
ASXL2	48.87	55.1	189.02	215.77	170.25	320.8	90.14	94.67	141.02	256.78	314.17	74.06	46.18	70.51	115.97	111.21	92.05	111.21	145.02	169.07	158.79	82.87	72.52	295.11	140.04	277.2	201.25	120.94	118.43	182.55	96.01	175.07	199.85	183.82	103.69	255.0	215.77	85.82	149.12	105.89	111.21	145.02	75.64	47.5	158.79	214.27	99.43	128.79	112.77	215.77	135.24	126.12	231.32	258.57	171.45	211.31	150.17	215.77	120.1	246.28	197.09	94.01	118.43	277.2	187.71	153.34	147.06	193.01	144.01	339.14	107.38	117.6	297.17	244.57	92.7	182.55	107.38	119.26	99.43	159.9	87.03	71.0	163.28	82.29	91.41	169.07	199.85	115.16	150.17	267.73	158.79	215.77	137.14	44.25	173.85	97.36	127.0	97.36	113.56	83.45	75.11	172.65	197.09	123.5	128.79	105.15	109.66	118.43	221.86	255.0	176.29	103.69	232.94	68.55	189.02	88.26	53.19	25.17	51.35	23.08	37.05	56.28	20.41	39.5	63.0	29.27	37.59	47.84	35.5	39.79	47.17	31.45	26.28	31.22	36.53	43.94	20.41	36.53	62.56	48.18	37.05	56.28	90.14	35.0	23.25	21.78	24.81	33.06	23.59	25.91	17.9	12.36	7.46	18.16
ATRX	114.36	175.07	518.15	480.04	435.55	255.0	170.25	312.0	303.44	607.87	878.17	211.31	217.27	185.11	279.14	242.88	202.66	236.21	353.59	334.46	351.14	191.67	69.52	587.13	314.17	543.96	371.22	277.2	409.15	532.74	223.41	283.05	376.41	674.59	239.52	473.41	460.44	271.48	463.65	229.72	329.84	187.71	305.55	201.25	412.0	521.76	309.83	316.37	241.19	476.71	241.19	318.57	289.02	441.64	366.09	454.09	320.8	363.56	301.33	583.07	830.75	218.79	441.64	647.07	450.94	332.14	269.6	327.56	473.41	409.15	273.37	244.57	708.18	511.0	195.72	547.75	197.09	244.57	283.05	301.33	152.28	148.09	368.65	275.28	232.94	262.2	341.51	703.28	348.71	536.45	409.15	346.29	336.79	400.71	435.55	301.33	334.46	242.88	242.88	178.77	212.78	381.68	490.14	234.57	301.33	327.56	248.0	320.8	412.0	307.69	341.51	460.44	559.28	156.59	406.31	255.0	193.01	87.03	144.01	72.01	69.52	95.34	76.71	69.03	258.57	89.51	81.71	100.83	49.56	127.89	87.65	108.14	70.51	45.85	93.35	73.03	36.79	95.34	125.24	161.02	53.95	79.45	128.79	122.64	27.25	116.78	110.43	113.56	130.6	121.79	96.68	84.04	108.14	116.78
BAHD1	164.42	158.79	289.02	511.0	237.86	412.0	291.04	195.72	209.84	406.31	571.05	327.56	348.71	301.33	318.57	215.77	242.88	201.25	339.14	281.09	358.54	248.0	651.58	346.29	312.0	368.65	297.17	293.07	221.86	195.72	392.44	397.93	171.45	358.54	281.09	713.11	325.29	470.14	303.44	325.29	339.14	131.51	242.88	327.56	221.86	379.04	444.72	543.96	202.66	312.0	312.0	180.02	371.22	253.23	403.5	260.38	273.37	343.89	351.14	217.27	215.77	307.69	232.94	500.46	217.27	346.29	521.76	476.71	543.96	277.2	180.02	209.84	127.0	353.59	316.37	153.34	493.56	332.14	426.57	242.88	305.55	229.72	327.56	195.72	231.32	361.04	435.55	206.94	253.23	476.71	392.44	532.74	351.14	358.54	255.0	563.18	591.22	232.94	237.86	414.87	212.78	251.48	387.02	339.14	283.05	642.59	167.9	283.05	571.05	429.54	295.11	387.02	161.02	303.44	497.0	236.21	262.2	153.34	242.88	146.03	115.16	220.32	170.25	152.28	155.5	132.44	204.07	123.5	150.17	186.4	163.28	129.69	120.94	167.9	201.25	121.79	132.44	148.09	167.9	166.73	109.66	178.77	189.02	202.66	136.19	221.86	166.73	144.01	163.28	166.73	125.24	178.77	149.12	198.47
BAZ1B	412.0	500.46	1350.18	981.29	1175.27	1467.37	842.36	647.07	457.25	1143.1	1733.13	591.22	563.18	507.46	967.76	470.14	909.17	679.29	738.29	928.3	780.44	591.22	373.81	995.0	764.36	1008.9	769.69	693.58	693.58	785.88	743.43	854.13	728.11	1551.09	842.36	1051.79	665.29	808.0	813.63	693.58	884.29	423.61	728.11	679.29	934.76	854.13	866.07	665.29	551.56	1096.5	836.53	353.59	764.36	860.08	1242.34	796.86	660.68	802.41	669.92	1127.35	915.51	723.08	450.94	941.27	947.83	1151.06	769.69	1037.29	974.5	941.27	571.05	603.67	902.89	1242.34	466.88	1111.82	698.41	669.92	679.29	819.3	473.41	555.41	1030.12	723.08	476.71	708.18	669.92	909.17	813.63	1259.69	842.36	1111.82	808.0	743.43	808.0	713.11	759.08	854.13	507.46	480.04	633.73	708.18	785.88	518.15	890.44	674.59	915.51	775.05	1519.15	921.88	703.28	1259.69	612.11	423.61	718.08	595.34	361.04	50.63	332.14	269.6	199.85	281.09	167.9	334.46	305.55	279.14	241.19	171.45	144.01	201.25	371.22	253.23	175.07	199.85	307.69	332.14	307.69	264.03	309.83	241.19	223.41	392.44	351.14	226.54	139.07	256.78	239.52	258.57	287.01	208.38	143.01	127.89	181.28	135.24
BCL2	43.63	13.03	1059.11	1030.12	1819.35	1519.15	325.29	356.05	813.63	1674.06	1628.26	295.11	1059.11	791.35	234.57	616.37	507.46	444.72	1909.85	1096.5	346.29	928.3	341.51	684.02	884.29	836.53	1001.93	2209.26	112.77	769.69	125.24	151.22	251.48	2148.82	748.61	547.75	967.76	954.43	638.15	218.79	1457.23	1023.0	1175.27	638.15	1674.06	490.14	387.02	995.0	514.56	775.05	2335.28	395.18	764.36	796.86	642.59	269.6	162.14	1008.9	353.59	934.76	854.13	547.75	1216.75	293.07	2018.8	624.99	1883.54	1088.92	521.76	1208.34	229.72	603.67	246.28	1208.34	981.29	1685.71	73.54	708.18	191.67	629.35	249.73	242.88	2555.58	769.69	665.29	111.21	1001.93	493.56	361.04	145.02	547.75	1250.98	217.27	1963.57	660.68	633.73	409.15	211.31	323.03	813.63	1151.06	890.44	743.43	2090.03	1059.11	1447.15	684.02	412.0	447.82	175.07	954.43	579.04	403.5	450.94	567.1	426.57	148.09	100.83	31.0	40.36	13.83	23.42	11.73	20.71	16.51	26.47	21.63	38.67	18.03	20.71	18.29	12.83	16.51	14.67	38.4	17.9	4.17	21.47	42.41	43.02	24.99	15.91	73.54	20.71	14.89	12.64	13.12	12.27	27.05	23.08	11.04	9.41	13.52	12.18
BDP1	92.7	67.12	713.11	197.09	339.14	371.22	195.72	202.66	244.57	450.94	500.46	199.85	163.28	151.22	206.94	73.03	183.82	197.09	281.09	450.94	346.29	152.28	118.43	309.83	162.14	423.61	351.14	209.84	256.78	339.14	132.44	320.8	450.94	620.67	197.09	376.41	256.78	154.42	242.88	204.07	301.33	128.79	249.73	143.01	435.55	457.25	215.77	1015.93	175.07	447.82	277.2	149.12	264.03	336.79	239.52	334.46	191.67	295.11	303.44	638.15	579.04	162.14	397.93	497.0	299.25	358.54	177.53	341.51	441.64	371.22	267.73	371.22	463.65	329.84	166.73	403.5	108.14	173.85	137.14	236.21	127.89	149.12	389.72	201.25	127.0	157.68	209.84	316.37	260.38	414.87	323.03	236.21	217.27	356.05	285.03	234.57	231.32	241.19	162.14	108.9	214.27	229.72	339.14	214.27	381.68	400.71	309.83	307.69	612.11	183.82	251.48	244.57	358.54	211.31	232.94	211.31	171.45	85.22	104.42	77.79	73.54	76.17	83.45	64.8	80.57	57.49	69.03	67.59	59.97	63.0	111.99	41.52	54.72	61.68	74.06	126.12	58.71	73.54	111.21	121.79	37.05	72.01	116.78	136.19	23.42	82.87	107.38	82.29	116.78	81.71	67.12	55.1	108.14	72.01
BLOC1S6	194.36	260.38	748.61	521.76	490.14	384.34	414.87	395.18	305.55	612.11	769.69	466.88	450.94	373.81	450.94	454.09	363.56	414.87	624.99	540.19	595.34	395.18	323.03	753.83	490.14	825.0	525.39	343.89	395.18	599.49	547.75	529.06	647.07	708.18	447.82	679.29	497.0	334.46	555.41	559.28	429.54	363.56	476.71	258.57	470.14	633.73	579.04	525.39	547.75	830.75	665.29	543.96	518.15	624.99	420.68	674.59	450.94	518.15	665.29	866.07	825.0	412.0	536.45	660.68	432.53	361.04	928.3	825.0	547.75	514.56	339.14	466.88	511.0	647.07	599.49	769.69	480.04	642.59	432.53	454.09	441.64	234.57	764.36	521.76	320.8	529.06	638.15	323.03	403.5	764.36	503.95	476.71	387.02	536.45	679.29	616.37	470.14	728.11	229.72	444.72	579.04	497.0	603.67	571.05	638.15	1044.52	454.09	353.59	559.28	470.14	547.75	559.28	629.35	341.51	599.49	392.44	320.8	223.41	361.04	323.03	234.57	329.84	248.0	149.12	271.48	194.36	287.01	287.01	253.23	262.2	267.73	161.02	195.72	189.02	303.44	242.88	205.5	229.72	397.93	348.71	149.12	273.37	346.29	182.55	150.17	334.46	480.04	241.19	343.89	332.14	305.55	242.88	915.51	423.61
BRPF3	251.48	161.02	463.65	395.18	559.28	591.22	463.65	305.55	432.53	718.08	1191.69	620.67	669.92	198.47	555.41	403.5	473.41	366.09	825.0	718.08	785.88	329.84	450.94	708.18	412.0	571.05	651.58	669.92	738.29	819.3	358.54	616.37	444.72	1059.11	389.72	651.58	1529.73	473.41	339.14	460.44	616.37	567.1	511.0	389.72	444.72	866.07	503.95	651.58	480.04	599.49	507.46	567.1	262.2	457.25	543.96	647.07	483.38	466.88	387.02	759.08	1225.22	500.46	567.1	612.11	769.69	616.37	693.58	769.69	802.41	466.88	559.28	417.77	967.76	651.58	346.29	579.04	575.03	406.31	376.41	624.99	323.03	414.87	1617.0	547.75	400.71	381.68	470.14	376.41	507.46	656.11	785.88	1745.2	915.51	567.1	656.11	387.02	525.39	583.07	620.67	341.51	379.04	563.18	329.84	387.02	785.88	262.2	599.49	559.28	1015.93	450.94	540.19	532.74	518.15	438.59	351.14	417.77	376.41	22.26	226.54	149.12	199.85	381.68	273.37	316.37	283.05	180.02	221.86	327.56	144.01	208.38	395.18	718.08	175.07	289.02	229.72	395.18	180.02	447.82	260.38	199.85	273.37	262.2	237.86	201.25	208.38	193.01	177.53	183.82	178.77	161.02	148.09	162.14	149.12	130.6
C7orf55-LUC7L2	995.0	551.56	1594.73	1519.15	1369.04	1331.57	1369.04	1023.0	733.19	1709.26	1540.37	1745.2	1268.46	1216.75	1143.1	1008.9	896.64	1088.92	1883.54	1242.34	1757.34	1457.23	733.19	1350.18	1001.93	1628.26	1183.45	1295.13	1081.39	1340.84	1208.34	1199.98	1674.06	2119.22	1350.18	1757.34	954.43	995.0	1457.23	1216.75	1540.37	1322.37	1001.93	981.29	1191.69	1417.35	1378.57	713.11	1191.69	1407.55	1457.23	607.87	1135.2	1313.23	1304.15	1167.14	1242.34	1388.16	1551.09	1286.18	1844.76	1268.46	884.29	1037.29	775.05	1378.57	1233.75	1832.01	1277.29	1417.35	941.27	1572.76	3372.43	1487.87	1477.58	1781.89	848.22	1030.12	1183.45	1119.56	961.07	1388.16	1467.37	1617.0	713.11	995.0	1242.34	974.5	1359.57	1331.57	1407.55	1769.57	1331.57	1477.58	1467.37	1561.89	1225.22	1340.84	1143.1	842.36	1051.79	842.36	1191.69	988.12	1572.76	995.0	1208.34	1044.52	1844.76	1023.0	1208.34	1639.59	890.44	780.44	1191.69	1037.29	825.0	220.32	981.29	708.18	579.04	703.28	753.83	460.44	555.41	647.07	624.99	651.58	497.0	532.74	872.1	579.04	473.41	441.64	665.29	551.56	791.35	679.29	1111.82	738.29	529.06	728.11	703.28	607.87	358.54	435.55	660.68	616.37	872.1	514.56	532.74	334.46	703.28	473.41
CBLL1	109.66	239.52	638.15	454.09	460.44	543.96	287.01	291.04	209.84	500.46	656.11	175.07	198.47	255.0	684.02	325.29	242.88	314.17	473.41	373.81	353.59	343.89	127.0	503.95	262.2	500.46	583.07	307.69	348.71	450.94	353.59	334.46	457.25	647.07	253.23	400.71	297.17	289.02	318.57	325.29	454.09	197.09	463.65	371.22	384.34	423.61	346.29	228.13	262.2	336.79	395.18	167.9	397.93	373.81	403.5	376.41	289.02	460.44	332.14	497.0	902.89	346.29	775.05	429.54	759.08	429.54	299.25	587.13	490.14	400.71	289.02	336.79	813.63	486.75	241.19	532.74	305.55	262.2	221.86	343.89	214.27	212.78	591.22	251.48	199.85	417.77	273.37	412.0	271.48	559.28	366.09	423.61	368.65	412.0	414.87	384.34	251.48	327.56	423.61	191.67	353.59	723.08	307.69	532.74	420.68	224.97	305.55	307.69	872.1	525.39	325.29	373.81	267.73	156.59	412.0	242.88	134.3	93.35	161.02	108.14	105.89	140.04	100.13	171.45	163.28	104.42	152.28	138.1	103.69	127.0	204.07	120.94	75.11	77.25	108.9	145.02	82.87	118.43	162.14	117.6	94.01	124.37	158.79	104.42	85.22	126.12	111.99	110.43	118.43	89.51	121.79	47.84	105.15	46.5
CCNT1	95.34	74.58	299.25	206.94	346.29	293.07	157.68	195.72	209.84	368.65	366.09	205.5	151.22	117.6	161.02	166.73	199.85	124.37	358.54	283.05	189.02	141.02	107.38	371.22	193.01	320.8	178.77	211.31	244.57	281.09	133.36	267.73	239.52	429.54	194.36	309.83	295.11	122.64	236.21	143.01	293.07	150.17	244.57	119.26	303.44	221.86	129.69	223.41	167.9	287.01	291.04	173.85	289.02	279.14	303.44	260.38	187.71	249.73	228.13	429.54	579.04	214.27	307.69	309.83	265.87	358.54	265.87	246.28	198.47	309.83	195.72	170.25	339.14	318.57	175.07	318.57	208.38	180.02	129.69	186.4	139.07	138.1	221.86	198.47	171.45	269.6	167.9	305.55	221.86	368.65	220.32	457.25	239.52	281.09	301.33	183.82	223.41	323.03	135.24	151.22	95.34	229.72	258.57	271.48	236.21	193.01	234.57	204.07	194.36	309.83	265.87	128.79	271.48	108.9	226.54	155.5	85.82	43.94	97.36	67.59	62.56	50.63	81.71	49.91	90.77	66.65	76.71	74.06	55.89	67.12	84.63	36.01	56.68	52.82	63.45	59.97	39.5	58.71	110.43	81.14	52.45	96.68	92.7	64.8	38.67	103.69	108.14	80.57	99.43	87.65	47.5	59.13	127.89	62.12
