	TCGA.5N.A9KI.01A.31R.A42T.07	TCGA.CF.A9FM.01A.11R.A38B.07	TCGA.A8.A08X.01A.21R.A00Z.07	TCGA.B6.A1KF.01A.11R.A13Q.07	TCGA.A2.A0YG.01A.21R.A109.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.C5.A7CM.01A.11R.A33Z.07	TCGA.JW.A69B.01A.11R.A32P.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.NH.A50V.01A.11R.A28H.07	TCGA.D5.6536.01A.11R.1723.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.CK.4952.01A.01R.1723.07	TCGA.CM.6171.01A.11R.1653.07	GTEX.S3XE.1126.SM.4AD4N	GTEX.XBED.1726.SM.47JYO	TCGA.X8.AAAR.01A.11R.A406.31	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.V5.A7RB.01A.11R.A354.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A4OW.01A.11R.A28J.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.AK.3447.01A.01R.1766.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.KV.A74V.01A.11R.A33Z.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.5R.AA1C.01A.11R.A41C.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.BC.A10W.11A.11R.A131.07	GTEX.11NV4.1326.SM.5HL6V	GTEX.11NUK.1226.SM.5P9GM	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EI.6882.01A.11R.1928.07	GTEX.12WSL.2126.SM.5GCNG	GTEX.13OVI.2326.SM.5KM47	GTEX.13113.1526.SM.5EGHV	GTEX.Y5V6.2226.SM.4VDTC	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.BR.4292.01A.01R.1131.13	TCGA.CG.5732.01A.11R.1602.13	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.RD.A7BT.01A.11R.A33Y.31	TCGA.D7.A6EZ.01A.11R.A31P.31	TCGA.CG.5734.01A.11R.1602.13	TCGA.D7.A4YT.01A.11R.A251.31	TCGA.CG.4466.01A.01R.1157.13	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.CD.5804.01A.12R.2055.13	TCGA.CD.A486.01A.11R.A24K.31	TCGA.HU.A4GU.01A.11R.A251.31	TCGA.D7.6820.01A.11R.1884.13	GTEX.T8EM.1226.SM.4DM5J	GTEX.WFG8.1326.SM.4LVN3	GTEX.WHPG.0426.SM.4M1XW	GTEX.Y5LM.1326.SM.5RQIS	GTEX.OHPK.1526.SM.3MJGM	GTEX.12BJ1.1726.SM.5HL9B	GTEX.POMQ.0826.SM.3P61H	GTEX.Y3IK.1426.SM.4YCES	GTEX.QDVN.1226.SM.48TZ5
ARHGAP11A	64.8	28.24	194.36	303.44	329.84	339.14	75.64	43.32	54.72	229.72	94.67	48.87	73.03	127.0	163.28	373.81	525.39	99.43	114.36	57.49	878.17	669.92	151.22	890.44	193.01	217.27	53.57	85.82	2.29	22.43	7.57	33.78	15.68	9.93	24.99	25.72	26.1	9.41	6.84	12.36	6.41	8.19	2.89	2.46	0.31	341.51	67.59	71.5	151.22	58.3	193.01	409.15	351.14	91.41	49.21	679.29	307.69	555.41	122.64	323.03	327.56	223.41	587.13	295.11	323.03	45.85	224.97	269.6	293.07	172.65	100.83	194.36	88.26	98.04	92.7	180.02	244.57	55.49
ATAD5	19.97	9.13	31.67	57.89	65.72	41.52	11.91	7.51	10.0	58.71	105.15	38.67	19.97	38.67	38.12	74.58	67.59	21.94	26.1	35.76	108.9	133.36	31.45	156.59	42.11	59.13	28.86	23.25	0.8	8.58	9.48	7.69	3.76	6.06	9.34	8.51	5.68	4.39	0.0	2.92	4.82	5.02	14.67	1.91	0.46	82.29	17.77	34.51	43.02	18.97	31.0	77.79	60.39	25.72	18.97	118.43	59.55	82.87	13.62	98.04	119.26	45.53	115.97	82.87	55.89	42.41	57.89	117.6	43.32	25.91	24.28	46.5	18.29	27.05	25.91	57.89	62.56	21.01
C4orf46	67.12	51.35	94.01	209.84	156.59	90.14	51.71	57.49	77.79	74.06	146.03	96.68	84.63	68.55	94.01	175.07	167.9	84.04	78.89	90.14	100.13	127.0	92.05	153.34	111.99	215.77	72.52	124.37	26.47	24.99	22.43	19.25	19.97	20.41	29.27	43.02	22.75	15.45	11.91	12.36	8.92	14.78	10.16	12.93	0.28	186.4	112.77	98.04	96.01	73.03	76.71	127.0	214.27	61.68	80.57	255.0	193.01	198.47	60.82	155.5	224.97	136.19	116.78	181.28	100.83	63.89	72.52	132.44	75.11	94.01	68.07	136.19	70.01	84.63	72.01	78.34	150.17	51.71
CCNA2	239.52	52.08	336.79	915.51	551.56	162.14	52.45	50.27	47.84	301.33	343.89	289.02	206.94	303.44	403.5	708.18	470.14	128.79	133.36	381.68	733.19	1407.55	395.18	728.11	532.74	149.12	149.12	171.45	15.34	46.5	14.03	83.45	38.67	32.59	111.21	90.14	90.77	41.22	2.81	10.39	22.59	11.64	7.57	3.29	0.42	1295.13	181.28	98.73	114.36	295.11	332.14	463.65	961.07	215.77	139.07	791.35	995.0	738.29	220.32	540.19	674.59	559.28	500.46	409.15	511.0	211.31	381.68	454.09	395.18	366.09	251.48	555.41	190.34	221.86	128.79	466.88	599.49	139.07
CCNE2	42.11	18.84	226.54	366.09	521.76	366.09	89.51	22.75	29.7	186.4	171.45	36.79	49.56	57.89	79.45	197.09	142.01	76.71	43.94	35.76	87.03	195.72	68.07	223.41	147.06	112.77	37.05	43.02	0.82	16.75	8.38	22.1	20.86	13.22	27.84	34.51	14.89	6.21	4.7	7.69	7.34	8.19	19.39	4.62	0.53	199.85	56.28	25.72	47.5	93.35	117.6	55.89	277.2	109.66	50.63	150.17	273.37	119.26	197.09	152.28	220.32	161.02	92.7	220.32	107.38	58.3	134.3	343.89	130.6	81.71	37.85	81.71	73.54	96.68	71.5	98.73	96.68	22.43
CENPI	57.08	10.63	115.16	140.04	185.11	102.97	18.43	10.16	7.22	112.77	90.14	65.26	36.53	46.5	83.45	75.64	92.05	21.78	48.87	25.91	176.29	118.43	42.71	145.02	99.43	84.04	30.78	24.81	0.77	6.46	3.03	7.46	8.38	4.9	30.34	15.11	15.45	4.17	0.55	1.73	3.5	3.08	0.31	1.95	0.22	208.38	47.17	12.45	32.13	47.17	37.32	130.6	71.0	21.16	10.16	170.25	106.63	127.89	41.22	105.89	128.79	53.57	100.13	65.72	73.03	40.64	42.41	144.01	69.52	37.59	45.21	71.5	17.64	22.43	15.68	71.5	78.34	21.94
CKAP2	185.11	293.07	708.18	723.08	647.07	791.35	351.14	142.01	120.1	336.79	237.86	182.55	426.57	381.68	287.01	420.68	460.44	143.01	142.01	258.57	1923.14	1437.15	483.38	947.83	493.56	559.28	127.89	151.22	39.5	42.41	50.63	115.97	51.71	35.0	195.72	98.73	78.89	36.79	18.16	24.11	27.25	41.52	37.59	58.3	0.22	764.36	206.94	228.13	287.01	246.28	283.05	341.51	769.69	226.54	136.19	796.86	647.07	536.45	152.28	764.36	612.11	454.09	642.59	460.44	384.34	123.5	120.1	674.59	435.55	289.02	193.01	366.09	205.5	161.02	185.11	373.81	769.69	120.94
DBF4	211.31	88.26	460.44	432.53	511.0	126.12	77.25	101.54	90.77	144.01	387.02	256.78	182.55	140.04	239.52	435.55	351.14	100.83	126.12	197.09	251.48	361.04	185.11	316.37	429.54	267.73	161.02	145.02	67.59	33.3	43.32	92.7	61.25	49.56	92.7	66.65	100.83	35.0	5.96	36.01	68.55	38.4	37.59	15.91	0.62	656.11	144.01	140.04	152.28	229.72	251.48	220.32	473.41	214.27	208.38	591.22	934.76	483.38	241.19	420.68	629.35	400.71	802.41	511.0	323.03	205.5	775.05	967.76	231.32	217.27	164.42	182.55	201.25	206.94	148.09	224.97	305.55	122.64
DCLRE1A	37.32	111.21	97.36	194.36	171.45	131.51	108.14	98.04	106.63	74.58	98.04	100.83	65.26	64.8	124.37	217.27	202.66	86.43	77.25	96.68	125.24	127.89	143.01	114.36	190.34	98.04	62.56	68.07	65.72	41.22	76.17	52.08	69.52	63.0	114.36	82.29	79.45	59.13	41.22	71.0	52.82	62.12	54.33	72.01	0.0	215.77	83.45	80.57	90.77	81.71	121.79	122.64	226.54	137.14	50.63	115.97	119.26	371.22	47.5	353.59	197.09	123.5	181.28	267.73	92.05	68.07	71.0	169.07	57.49	64.8	59.97	61.68	75.11	93.35	77.79	64.8	118.43	79.45
DSCC1	55.49	9.48	151.22	438.59	255.0	111.99	37.59	61.25	45.85	181.28	114.36	108.9	59.55	114.36	125.24	791.35	211.31	39.5	88.26	62.56	177.53	351.14	67.59	293.07	368.65	153.34	49.21	70.01	2.34	23.08	10.08	42.41	39.22	38.67	51.35	55.89	29.48	10.79	9.93	6.78	10.55	7.22	4.46	1.68	0.0	277.2	55.49	39.22	24.63	143.01	173.85	151.22	387.02	84.63	100.13	346.29	295.11	293.07	64.34	336.79	444.72	167.9	223.41	220.32	161.02	67.59	189.02	218.79	105.15	68.07	33.3	92.7	81.71	46.84	52.45	87.03	72.01	27.44
ECT2	320.8	85.22	521.76	603.67	2209.26	547.75	154.42	177.53	271.48	988.12	483.38	536.45	435.55	633.73	1135.2	1733.13	1733.13	187.71	191.67	297.17	2417.67	718.08	348.71	1832.01	1583.71	1304.15	521.76	299.25	220.32	76.17	52.82	64.8	32.36	28.65	86.43	89.51	60.39	33.54	7.34	25.35	30.56	18.7	3.17	11.04	0.68	2075.59	195.72	113.56	90.14	239.52	320.8	1066.48	1088.92	293.07	353.59	1487.87	1143.1	1883.54	299.25	1268.46	1617.0	718.08	1477.58	1151.06	1477.58	454.09	559.28	684.02	497.0	412.0	277.2	848.22	409.15	291.04	279.14	603.67	808.0	258.57
FAM111B	71.0	19.68	493.56	232.94	343.89	674.59	35.76	5.63	64.8	312.0	253.23	120.1	57.89	11.38	121.79	190.34	130.6	35.76	57.89	33.78	46.18	244.57	15.11	483.38	128.79	155.5	45.85	19.53	0.39	16.51	5.77	18.7	11.82	5.28	78.89	29.91	26.86	13.42	0.33	2.53	1.27	6.52	2.29	0.0	0.0	283.05	98.04	58.71	59.97	332.14	56.68	139.07	269.6	49.91	26.67	130.6	493.56	327.56	30.56	198.47	429.54	140.04	131.51	237.86	61.68	55.49	41.52	521.76	77.79	148.09	59.97	146.03	71.0	99.43	82.87	166.73	165.57	42.41
FBXO5	120.94	68.55	275.28	283.05	316.37	102.97	116.78	98.04	122.64	211.31	229.72	178.77	111.99	138.1	208.38	476.71	277.2	96.01	127.89	124.37	125.24	255.0	138.1	348.71	212.78	305.55	100.83	66.18	5.82	23.59	36.53	46.18	52.08	48.18	24.99	40.64	24.99	40.36	13.03	38.67	52.45	20.56	37.32	20.86	0.27	301.33	120.94	62.12	98.04	122.64	109.66	265.87	258.57	202.66	73.03	339.14	387.02	297.17	87.03	435.55	334.46	232.94	204.07	202.66	234.57	68.55	149.12	204.07	127.89	154.42	97.36	253.23	87.65	78.89	82.29	157.68	221.86	98.73
FIGNL1	88.26	71.0	332.14	228.13	409.15	218.79	111.21	64.8	105.89	161.02	435.55	194.36	88.26	118.43	130.6	221.86	92.05	113.56	75.64	93.35	228.13	842.36	94.67	555.41	146.03	189.02	102.97	127.89	8.85	30.34	44.89	40.36	29.27	30.56	142.01	36.53	28.65	29.06	32.36	31.45	24.28	22.59	53.19	9.78	0.0	329.84	194.36	64.34	244.57	99.43	115.97	159.9	332.14	117.6	65.72	258.57	356.05	255.0	64.8	185.11	450.94	185.11	244.57	277.2	265.87	127.0	221.86	232.94	156.59	137.14	52.08	166.73	92.05	74.06	55.89	178.77	129.69	83.45
GART	728.11	723.08	1417.35	1551.09	1340.84	890.44	571.05	514.56	551.56	753.83	1081.39	1651.0	1883.54	1183.45	1447.15	1745.2	1127.35	728.11	656.11	1023.0	1233.75	1088.92	769.69	981.29	928.3	1304.15	872.1	813.63	363.56	403.5	194.36	607.87	409.15	476.71	397.93	438.59	376.41	320.8	334.46	363.56	414.87	438.59	351.14	267.73	0.69	1628.26	743.43	921.88	669.92	665.29	830.75	928.3	1457.23	896.64	748.61	1001.93	1397.83	1407.55	599.49	1407.55	1417.35	1561.89	934.76	1073.91	1037.29	603.67	1059.11	2090.03	733.19	785.88	575.03	796.86	1015.93	624.99	612.11	629.35	612.11	525.39
GINS1	120.94	23.93	348.71	371.22	438.59	283.05	82.29	16.51	41.22	387.02	260.38	108.9	12.27	180.02	82.29	341.51	104.42	53.95	56.28	26.47	22.26	119.26	44.25	819.3	155.5	49.91	21.32	59.13	6.78	30.12	17.13	37.85	18.03	21.78	39.22	31.0	18.43	10.24	12.27	5.82	13.32	11.3	7.4	1.48	1096.5	239.52	48.87	67.59	80.57	92.05	198.47	133.36	130.6	115.97	31.22	199.85	444.72	169.07	45.21	316.37	457.25	125.24	155.5	175.07	186.4	143.01	162.14	307.69	237.86	137.14	92.7	156.59	81.14	88.88	63.89	157.68	131.51	45.21
GMPS	2032.85	629.35	2739.08	2367.9	2271.4	1498.22	981.29	567.1	656.11	1437.15	866.07	1259.69	1044.52	995.0	1159.07	1628.26	1159.07	503.95	684.02	708.18	967.76	1111.82	775.05	1225.22	1001.93	878.17	780.44	688.78	866.07	242.88	368.65	536.45	438.59	447.82	616.37	493.56	400.71	346.29	312.0	336.79	392.44	237.86	176.29	303.44	0.95	1340.84	848.22	884.29	921.88	848.22	612.11	830.75	1417.35	693.58	563.18	1135.2	3168.41	2004.85	409.15	1216.75	1242.34	1447.15	1388.16	1208.34	1662.49	934.76	633.73	1572.76	775.05	624.99	575.03	785.88	1088.92	775.05	981.29	629.35	791.35	563.18
GTF3C4	136.19	115.16	466.88	262.2	392.44	146.03	158.79	151.22	181.28	156.59	173.85	144.01	158.79	151.22	134.3	242.88	221.86	139.07	124.37	120.94	161.02	201.25	212.78	194.36	155.5	173.85	136.19	130.6	28.65	45.53	60.82	34.75	42.71	50.27	89.51	42.41	44.25	47.84	36.01	43.94	43.63	39.5	61.25	15.68	0.08	211.31	176.29	220.32	293.07	167.9	100.13	70.01	265.87	159.9	117.6	309.83	180.02	275.28	109.66	665.29	595.34	444.72	199.85	218.79	211.31	100.13	102.25	353.59	214.27	128.79	86.43	106.63	121.79	120.94	94.01	102.25	106.63	117.6
HSPA14	660.68	441.64	860.08	1225.22	836.53	486.75	343.89	309.83	511.0	444.72	575.03	447.82	540.19	511.0	473.41	813.63	543.96	444.72	559.28	571.05	708.18	603.67	684.02	738.29	587.13	607.87	426.57	567.1	218.79	141.02	204.07	194.36	189.02	189.02	366.09	329.84	246.28	167.9	71.0	151.22	186.4	178.77	171.45	92.7	0.77	733.19	473.41	529.06	555.41	289.02	329.84	624.99	1151.06	412.0	406.31	718.08	928.3	647.07	417.77	967.76	1008.9	518.15	981.29	612.11	743.43	406.31	460.44	2075.59	514.56	563.18	503.95	743.43	540.19	497.0	629.35	507.46	441.64	441.64
KIAA1524	56.28	31.45	94.01	234.57	242.88	101.54	31.22	17.51	27.25	136.19	132.44	83.45	84.04	70.51	122.64	189.02	144.01	46.18	78.89	45.53	397.93	166.73	105.15	299.25	202.66	151.22	70.01	71.5	6.89	15.45	18.97	17.0	7.22	7.0	31.45	21.01	10.71	6.67	1.16	3.0	7.51	11.04	5.02	0.38	0.36	336.79	32.13	74.06	53.19	37.59	57.08	231.32	106.63	49.91	43.94	193.01	164.42	191.67	40.93	183.82	180.02	138.1	172.65	108.14	118.43	63.45	81.14	83.45	82.29	96.68	60.39	101.54	39.5	45.53	37.85	111.99	194.36	33.3
KIF20B	26.47	37.05	127.0	180.02	156.59	121.79	42.71	39.5	48.18	59.55	74.58	86.43	78.89	47.84	115.97	205.5	95.34	67.59	71.0	100.13	221.86	295.11	96.01	287.01	110.43	119.26	80.57	55.1	6.84	27.25	20.41	15.0	9.7	13.83	19.11	21.01	20.26	16.63	2.71	11.64	13.03	10.63	10.39	7.17	0.05	173.85	45.21	78.34	79.45	73.54	49.21	262.2	123.5	58.3	52.08	295.11	183.82	198.47	48.18	118.43	162.14	167.9	260.38	185.11	267.73	74.58	123.5	193.01	81.14	157.68	78.34	157.68	62.56	91.41	61.25	133.36	221.86	66.65
KIF23	161.02	19.53	521.76	483.38	532.74	287.01	59.13	18.29	25.35	629.35	299.25	73.03	80.01	155.5	275.28	476.71	381.68	92.05	107.38	65.72	1407.55	1044.52	204.07	1745.2	693.58	287.01	202.66	120.1	3.99	58.71	34.51	31.67	13.12	8.65	35.25	32.13	21.94	8.65	1.11	4.74	14.67	9.7	1.03	4.03	0.49	1001.93	135.24	98.73	116.78	127.0	226.54	674.59	536.45	96.68	65.72	830.75	536.45	571.05	74.58	441.64	656.11	327.56	764.36	447.82	341.51	154.42	490.14	532.74	392.44	202.66	133.36	253.23	81.14	120.1	84.63	269.6	366.09	99.43
