	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.13113.1326.SM.5GCOI	GTEX.11NUK.1226.SM.5P9GM	GTEX.XBEC.1526.SM.4AT68	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.147F4.0826.SM.5QGRB	GTEX.RVPV.1226.SM.2TF73	GTEX.13113.0126.SM.5LZVX	GTEX.ZLWG.0526.SM.4WWFB	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.11OF3.0626.SM.5BC4Y	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.13D11.0226.SM.5LZXL	GTEX.ZVZP.1026.SM.5GICI	GTEX.11O72.2326.SM.5BC7H	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
BFAR	441.64	555.41	414.87	253.23	376.41	490.14	500.46	339.14	872.1	995.0	808.0	656.11	974.5	733.19	1015.93	974.5	836.53	785.88	698.41	738.29	595.34	791.35	651.58	967.76	698.41	642.59	802.41	1088.92	1051.79	1051.79	842.36	638.15	896.64	988.12	669.92	693.58	928.3	612.11	981.29	780.44	1191.69	1008.9	624.99	591.22	878.17	1001.93	688.78	769.69	890.44	624.99	674.59	848.22	559.28	753.83	713.11	1199.98	878.17	1183.45	669.92	878.17	802.41
BRD7	679.29	543.96	309.83	353.59	273.37	587.13	406.31	540.19	1551.09	1572.76	947.83	909.17	1427.22	1135.2	1617.0	830.75	1225.22	1322.37	941.27	1066.48	921.88	1233.75	872.1	1477.58	1008.9	1051.79	1322.37	1199.98	1594.73	1487.87	1268.46	1259.69	1378.57	1322.37	854.13	1183.45	1857.6	1104.13	1477.58	1088.92	1662.49	1477.58	1088.92	961.07	1199.98	1183.45	1175.27	1001.93	1143.1	1096.5	1008.9	1008.9	981.29	1088.92	1001.93	1617.0	1313.23	1250.98	1286.18	1447.15	1583.71
CASC4	497.0	358.54	231.32	486.75	476.71	255.0	400.71	343.89	2178.83	3103.19	1508.65	1551.09	2555.58	1151.06	3081.75	1508.65	1991.0	1781.89	1216.75	1340.84	1991.0	1427.22	1331.57	2701.35	1551.09	1286.18	1909.85	1883.54	2720.15	1685.71	2400.97	1685.71	2061.24	2255.7	995.0	1583.71	2997.45	1096.5	2061.24	1685.71	2537.92	3039.3	1594.73	1757.34	1378.57	1685.71	1639.59	1159.07	1745.2	1923.14	1628.26	1844.76	1183.45	1378.57	1467.37	3325.99	1883.54	1781.89	1769.57	2664.15	2061.24
CCDC90B	688.78	698.41	234.57	830.75	842.36	493.56	723.08	571.05	1467.37	1407.55	988.12	928.3	1277.29	1111.82	1417.35	688.78	1175.27	1295.13	890.44	825.0	1331.57	848.22	860.08	1437.15	1216.75	866.07	1322.37	1066.48	1259.69	954.43	1143.1	1051.79	1286.18	1540.37	656.11	884.29	1697.45	902.89	1628.26	860.08	1605.83	1594.73	1030.12	1250.98	759.08	890.44	1119.56	698.41	1051.79	947.83	878.17	1127.35	808.0	1081.39	884.29	1417.35	1233.75	1304.15	1073.91	1359.57	1508.65
CCNI	1519.15	961.07	1388.16	1023.0	854.13	915.51	1127.35	848.22	8363.13	9409.14	5441.3	4903.87	7857.29	5076.84	9808.75	6935.54	6607.01	6935.54	3982.99	5147.73	5751.61	5594.3	3589.58	8078.22	6792.79	3874.05	9088.59	8963.45	10296.45	9474.59	7081.29	9409.14	10659.59	9606.86	4268.94	4671.57	9945.68	3639.7	8718.32	5441.3	10084.54	10084.54	5555.65	4481.23	5329.3	7433.4	6471.02	5555.65	7911.95	6164.49	4671.57	6250.56	3639.7	6337.83	3901.01	11345.82	9215.48	12076.21	6250.56	7911.95	7433.4
CHMP5	728.11	842.36	679.29	629.35	884.29	915.51	575.03	529.06	2591.27	2591.27	1794.29	1561.89	2434.5	1757.34	2855.44	1437.15	2193.99	2209.26	1519.15	1417.35	2004.85	1540.37	1427.22	2434.5	1685.71	1896.65	2240.11	1870.53	2468.49	2351.53	2178.83	1883.54	2287.2	2178.83	1242.34	1605.83	2739.08	1378.57	2434.5	1685.71	2209.26	2720.15	1594.73	1709.26	1651.0	1769.57	1991.0	1242.34	1551.09	1397.83	1561.89	1757.34	1417.35	2075.59	1572.76	2075.59	2004.85	2417.67	1909.85	2193.99	2163.77
CMPK1	1388.16	1277.29	1832.01	1769.57	1639.59	1721.16	1572.76	1844.76	2485.67	3103.19	1628.26	1757.34	2502.97	1605.83	3419.52	1697.45	2319.15	2209.26	1639.59	1745.2	2224.63	1721.16	1572.76	2935.74	1909.85	1674.06	2573.36	2193.99	2935.74	2384.37	2520.38	2224.63	2682.69	2417.67	1208.34	1832.01	3190.46	1540.37	2739.08	1745.2	3190.46	2895.31	2018.8	1806.78	1697.45	1936.53	1769.57	1551.09	1991.0	2434.5	1909.85	1857.6	1639.59	1950.0	1844.76	3665.02	2682.69	2573.36	1870.53	2485.67	2609.3
CNBP	3716.2	4607.24	4095.0	4671.57	4972.34	5147.73	6983.79	5112.16	8022.41	9740.98	6699.25	5954.47	9025.81	5329.3	10014.87	7485.11	7803.01	8191.0	5751.61	6121.9	6207.38	6250.56	5041.77	9088.59	6745.86	6250.56	8421.31	7485.11	9409.14	9151.82	8305.36	7230.1	8598.28	8134.41	5219.6	7180.15	10585.95	5219.6	9025.81	7331.05	9606.86	9606.86	6079.61	5255.91	6935.54	7749.1	7130.55	6516.03	6887.62	6337.83	6250.56	6250.56	4972.34	7382.04	6164.49	11664.82	8191.0	8191.0	7803.01	8421.31	7695.57
COPS2	507.46	536.45	173.85	387.02	435.55	329.84	395.18	406.31	1081.39	1427.22	764.36	651.58	1096.5	796.86	1447.15	1037.29	967.76	947.83	665.29	733.19	981.29	791.35	693.58	1066.48	884.29	713.11	1208.34	1073.91	1208.34	1199.98	896.64	995.0	1037.29	1159.07	703.28	836.53	1487.87	669.92	1030.12	775.05	1437.15	1331.57	753.83	796.86	703.28	825.0	909.17	791.35	1096.5	954.43	629.35	854.13	651.58	915.51	748.61	2032.85	1151.06	1857.6	884.29	1030.12	1030.12
CPE	353.59	872.1	368.65	119.26	79.45	133.36	624.99	92.05	13681.08	20881.4	8078.22	2956.17	23820.89	2400.97	16045.82	9344.14	7695.57	7749.1	3039.3	4066.71	4769.75	5366.37	3190.46	16045.82	5672.41	3690.52	7966.99	10585.95	19754.96	7485.11	19482.97	6983.79	10084.54	12329.98	1991.0	6887.62	18950.18	1617.0	12676.65	4481.23	13123.73	12589.08	3847.29	4481.23	5954.47	5147.73	8363.13	4123.49	5913.33	4298.64	3103.19	5292.48	2835.7	5479.15	5403.7	20170.07	5913.33	4972.34	7537.18	15499.21	6887.62
CREBL2	241.19	351.14	476.71	305.55	336.79	403.5	466.88	351.14	1388.16	1477.58	813.63	775.05	1295.13	1051.79	1709.26	988.12	974.5	1191.69	703.28	860.08	961.07	854.13	563.18	1427.22	1127.35	728.11	1437.15	1225.22	1529.73	1151.06	1191.69	1295.13	1359.57	1457.23	612.11	813.63	1561.89	651.58	1594.73	842.36	1733.13	1674.06	934.76	780.44	848.22	1111.82	909.17	791.35	967.76	934.76	808.0	928.3	587.13	988.12	753.83	1447.15	1487.87	1572.76	1059.11	1378.57	1498.22
CUX1	915.51	708.18	866.07	633.73	684.02	651.58	728.11	571.05	2895.31	2915.45	1745.2	1594.73	2739.08	1208.34	2875.3	1923.14	2178.83	2537.92	1359.57	1844.76	1605.83	1639.59	1745.2	3280.18	1870.53	1583.71	2720.15	2935.74	3467.27	2956.17	2720.15	1883.54	2855.44	2720.15	1331.57	1896.65	2720.15	1477.58	3018.3	1757.34	2976.74	2319.15	1733.13	1378.57	1936.53	1733.13	1936.53	1477.58	1605.83	1685.71	1794.29	1883.54	1304.15	2032.85	1477.58	2720.15	2351.53	2520.38	2224.63	2351.53	3103.19
DTWD1	161.02	291.04	105.15	178.77	191.67	162.14	269.6	211.31	728.11	909.17	473.41	500.46	612.11	420.68	961.07	543.96	728.11	743.43	703.28	674.59	669.92	536.45	547.75	780.44	769.69	629.35	599.49	688.78	909.17	679.29	713.11	698.41	638.15	748.61	486.75	642.59	848.22	493.56	785.88	579.04	808.0	1216.75	587.13	480.04	559.28	447.82	547.75	460.44	607.87	529.06	486.75	547.75	450.94	624.99	525.39	848.22	624.99	708.18	575.03	647.07	703.28
